dataset_name,subsample_frac,seed,save_dir,model_name,distiller_name,binary_mapper_name,binary_mapper_bit,binary_mapper_depth,binary_mapper_frac,max_depth,max_features,max_rules,max_trees,pre_interaction,pre_max_features,post_interaction,post_max_features,size_interactions,n_epochs,gpu,use_cache,cat_mappings,task_type,save_dir_unique,teacher_avg_kfold_val_r2,distiller_avg_kfold_val_r2,teacher_kfold_val_r2,distiller_kfold_val_r2,teacher_r2_score_train_true,teacher_r2_score_val_true,distiller_r2_score_train_true,distiller_r2_score_val_true,distiller_r2_score_train_teacher,distiller_r2_score_val_teacher
miami_housing,0.25,0,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/rf,rf_plus,figs,gmm_binary_mapper,0,2,0.5,5,1.0,60,30,l0l2,0.5,l0l2,30,3,100,2,1,"{'avno60plus': {'0.0': 0, '1.0': 1}, 'month_sold': {'1.0': 0, '2.0': 1, '3.0': 2, '4.0': 3, '5.0': 4, '6.0': 5, '7.0': 6, '8.0': 7, '9.0': 8, '10.0': 9, '11.0': 10, '12.0': 11}, 'structure_quality': {'1.0': 0, '2.0': 1, '3.0': 2, '4.0': 3, '5.0': 4}}",regression,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/rf/000f80a5839ac328073b96cdc53896353f9b8d2ac5e9d0d701af50d8d5419e1b,0.7920222897529273,0.7835191147819853,"[0.7948479981533866, 0.788836720812204, 0.7923821502931915]","[0.7935936177324846, 0.7785769234546562, 0.7783868031588153]",0.814725626202394,0.7632486691451391,0.8002416054795867,0.751060193433842,0.9934497397958109,0.9930843131459087
concrete,0.25,0,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/rf,rf_plus,ft_distill,dt_binary_mapper,0,2,0.5,4,1.0,60,30,l0l2,0.5,l0l2,30,3,100,2,1,{},regression,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/rf/00da6e72d18a231db541e060ff4751588dc504add0744bd146b5ae8668de5922,0.6728703210224071,0.6523328359442985,"[0.7068869532046872, 0.66301749282496, 0.6487065170375743]","[0.6697959203802811, 0.6426053134667642, 0.6445972739858503]",0.7879965593171288,0.7809685494170702,0.7631055306036744,0.7736449553933897,0.9914174067700491,0.9930690751881744
cpu_act,0.25,0,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/rf,random_forest,figs,dt_binary_mapper,0,3,0.5,4,1.0,60,30,l0l2,0.5,l0l2,30,3,100,2,1,{},regression,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/rf/0154b28e063990d0ac8cbbc5ba2af9759d617a3d6e14fc3342d053cf3542664a,0.8827459811918255,0.8824856590100038,"[0.8502437121160143, 0.9177940147391507, 0.8802002167203113]","[0.8495969381096802, 0.9185654694145868, 0.879294569505744]",0.9108963840380105,0.9083900772884042,0.9108226770691639,0.9000833313721097,0.9999953805894727,0.9990105609087196
ca_housing,0.25,0,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/rf,rf_plus,figs,gmm_binary_mapper,0,2,0.5,5,1.0,60,30,l0l2,0.5,l0l2,30,3,100,2,1,{},regression,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/rf/01852735cf12640c98444a71d1ae3fb24980cf07e65e156939dc325525607edd,0.6047051565072339,0.6023434380767724,"[0.5936590943326507, 0.603730551160971, 0.6167258240280801]","[0.5933728428069511, 0.5996862980375848, 0.6139711733857811]",0.6115641834851928,0.6042560470391498,0.6092298821812296,0.6034255830624476,0.9993620565107327,0.9993057912662674
abalone,0.25,0,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/rf,random_forest,ft_distill,dt_binary_mapper,0,3,0.5,4,0.75,60,30,l0l2,0.5,l0l2,30,3,100,2,1,"{'Sex': {'F': 0, 'I': 1, 'M': 2}}",regression,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/rf/052ccdeaec8b6f32d7528dbc13820e61d7e156f01281bf1366fcd26333d6127a,0.3799622388022758,0.36704166869636906,"[0.34591407237240934, 0.37022326193934674, 0.4237493820950713]","[0.3254923381490056, 0.3665016957980639, 0.40913097214203764]",0.4261054422300471,0.40313570677062405,0.4114206162386209,0.39195039239373086,0.9864621130993506,0.9807077605400414
ca_housing,0.25,0,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/rf,random_forest,figs,dt_binary_mapper,0,3,0.5,4,1.0,60,30,l0l2,0.5,l0l2,30,3,100,2,1,{},regression,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/rf/061e94251c5d6854d8ae92993c47cd04528a03dd2b7556bc2c55389cf78509f7,0.4817214751388319,0.4806509264358733,"[0.47123678057162244, 0.48523815025165074, 0.48868949459322253]","[0.4702108907371121, 0.48437650815033784, 0.48736538042016986]",0.4864881738559296,0.4672464711510004,0.48598164887475104,0.46676274623749126,0.9999332942855332,0.9997260115394928
parkinsons,0.25,0,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/rf,random_forest,figs,dt_binary_mapper,0,3,0.5,4,1.0,60,30,l0l2,0.5,l0l2,30,3,100,2,1,"{'sex': {'0': 0, '1': 1}}",regression,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/rf/0636f7e8fb1623ee5436fa859e296dac898043d0d3b5b750da3b7325a793449d,0.4428938026362032,0.4425340895928887,"[0.4490746171698321, 0.45368170320247514, 0.4259250875363024]","[0.4488676444883226, 0.45348391365845375, 0.4252507106318897]",0.4436652256480642,0.4454874591537633,0.4436502650154791,0.44547594445985816,0.9999967743729593,0.9999926075668559
concrete,0.25,0,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/rf,random_forest,ft_distill,dt_binary_mapper,0,2,0.5,5,0.75,60,30,l0l2,0.5,l0l2,30,3,100,2,1,{},regression,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/rf/067cf7b18707dfbe79aa2662d98fd18f1d9de373b9923c12bfec6702bb0a7674,0.6386128509906485,0.6193777132558526,"[0.6631532581499637, 0.6582477362581247, 0.5944375585638568]","[0.6671152099461102, 0.597306613967356, 0.5937113158540914]",0.7938174190308301,0.7825485050459768,0.7629552378475155,0.758301034141787,0.9754122583175018,0.9760256185246302
cpu_act,0.25,0,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/rf,random_forest,figs,dt_binary_mapper,0,3,0.5,4,0.75,60,30,l0l2,0.5,l0l2,30,3,100,2,1,{},regression,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/rf/082f4b671174c5d3d687b937565ae1c8be77fc0ca35d7e32908b5f708130dd21,0.8981486769854139,0.8882983566419812,"[0.8768087037088099, 0.9233341397689836, 0.8943031874784483]","[0.8561213884314204, 0.9233065921282276, 0.8854670893662959]",0.9160295733387338,0.9168483032515791,0.915666162585118,0.9104233806746898,0.9999554891164613,0.9978417668646121
powerplant,0.25,0,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/rf,random_forest,ft_distill,dt_binary_mapper,0,2,0.5,4,0.75,60,30,l0l2,0.5,l0l2,30,3,100,2,1,{},regression,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/rf/08ce0638fc7dcc2c98537c8ba5cef1e37f3c070b508d39c60f08e2fa0213b797,0.8991411309263787,0.8980925828117222,"[0.9046868188186586, 0.8941522041621515, 0.8985843697983256]","[0.9038864131531386, 0.8928515036598642, 0.8975398316221641]",0.9030090553978344,0.9057379803406609,0.9012399482442773,0.9043216397582531,0.9994234279359092,0.9993735083208846
cpu_act,0.25,0,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/rf,rf_plus,figs,dt_binary_mapper,0,2,0.5,4,0.75,60,30,l0l2,0.5,l0l2,30,3,100,2,1,{},regression,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/rf/0932dc8cba90238c3133508d8f950484488156b752543591bf4af59bd7de5460,0.9447765328970609,0.9467711564827196,"[0.9390642632510672, 0.9552081598549327, 0.9400571755851826]","[0.9392419724101108, 0.9552984630883189, 0.9457730339497288]",0.9572368155320984,0.9526160031791033,0.9568156337416651,0.9458060042751569,0.9998665365545991,0.9986502867057795
miami_housing,0.25,0,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/rf,rf_plus,ft_distill,gmm_binary_mapper,0,2,0.5,4,0.75,60,30,l0l2,0.5,l0l2,30,3,100,2,1,"{'avno60plus': {'0.0': 0, '1.0': 1}, 'month_sold': {'1.0': 0, '2.0': 1, '3.0': 2, '4.0': 3, '5.0': 4, '6.0': 5, '7.0': 6, '8.0': 7, '9.0': 8, '10.0': 9, '11.0': 10, '12.0': 11}, 'structure_quality': {'1.0': 0, '2.0': 1, '3.0': 2, '4.0': 3, '5.0': 4}}",regression,/home/mattyshen/interpretableDistillation/results/06_cv_bm_train_distill_model/rf/0a190d1b8afcc2c46091b6ab441bcf8e02aef466746dec3d27252aad1000e621,0.7668798662154547,0.7560288046373832,"[0.7714015873481075, 0.7597008801867561, 0.7695371311115006]","[0.7683914423895604, 0.7386774090237027, 0.7610175624988865]",0.7803328179636912,0.7385108413100998,0.7674061061443955,0.7239559485145676,0.993598397818627,0.9938206454608445
