dataset_name,subsample_frac,seed,save_dir,model_name,binary_mapper_name,binary_mapper_bit,binary_mapper_depth,binary_mapper_frac,max_depth,max_features,max_rules,max_trees,pre_interaction,pre_max_features,post_interaction,post_max_features,size_interactions,n_epochs,gpu,use_cache,cat_mappings,task_type,save_dir_unique,teacher_avg_kfold_val_r2,teacher_kfold_val_r2,teacher_r2_score_train_true,teacher_r2_score_val_true
abalone,0.25,0,/home/mattyshen/interpretableDistillation/results/07_cv_train_model/rf,random_forest,no_binary_mapper,0,2,0.5,4,1.0,60,30,l0l2,0.5,l0l2,30,3,100,2,1,"{'Sex': {'F': 0, 'I': 1, 'M': 2}}",regression,/home/mattyshen/interpretableDistillation/results/07_cv_train_model/rf/004b32712b54f94e5a80bceb1146c46bbece226a599fbe147da7aeb8f1d0573f,0.49074150600981176,"[0.4672065162577933, 0.48987065900470805, 0.515147342766934]",0.5492566240491954,0.48098889939708267
powerplant,0.25,0,/home/mattyshen/interpretableDistillation/results/07_cv_train_model/rf,random_forest,no_binary_mapper,0,2,0.5,4,1.0,60,30,l0l2,0.5,l0l2,30,3,100,2,1,{},regression,/home/mattyshen/interpretableDistillation/results/07_cv_train_model/rf/09d6fa9814b8cde4fa6830790126d4e6c684b499c66d81ef2249c7c464abcf6c,0.9301660901659373,"[0.9355283042165143, 0.9240521856243431, 0.9309177806569544]",0.9321547623943948,0.9324008362782696
powerplant,0.25,0,/home/mattyshen/interpretableDistillation/results/07_cv_train_model/rf,random_forest,no_binary_mapper,0,2,0.5,5,1.0,60,30,l0l2,0.5,l0l2,30,3,100,2,1,{},regression,/home/mattyshen/interpretableDistillation/results/07_cv_train_model/rf/10b6b119aca86bb538d26d81e66640fcf020560cbd9dcc0c84dec6019545c069,0.9375566187664292,"[0.9422255438191264, 0.9323992183335366, 0.9380450941466244]",0.9418935918829087,0.9395246520212805
cpu_act,0.25,0,/home/mattyshen/interpretableDistillation/results/07_cv_train_model/rf,rf_plus,no_binary_mapper,0,2,0.5,5,0.75,60,30,l0l2,0.5,l0l2,30,3,100,2,1,{},regression,/home/mattyshen/interpretableDistillation/results/07_cv_train_model/rf/113134bc0b2e5cb29b918388fe557d06f44af5501865967a5388bd79e5ddfb8d,0.9764924952516744,"[0.9781111046950826, 0.9767724271582985, 0.974593953901642]",0.978502465185072,0.9783561651529638
airfoil,0.25,0,/home/mattyshen/interpretableDistillation/results/07_cv_train_model/rf,random_forest,no_binary_mapper,0,2,0.5,4,0.75,60,30,l0l2,0.5,l0l2,30,3,100,2,1,"{'chord-length': {'0.0254': 0, '0.0508': 1, '0.1016': 2, '0.1524': 3, '0.2286': 4, '0.3048': 5}, 'free-stream-velocity': {'31.7': 0, '39.6': 1, '55.5': 2, '71.3': 3}}",regression,/home/mattyshen/interpretableDistillation/results/07_cv_train_model/rf/127451955607413ae34d7d6a7b3744591829b4d903b735e2c26ab10987c10375,0.6241760704791269,"[0.5795194395524845, 0.6262160990675844, 0.6667926728173121]",0.686833332244904,0.6191971620634389
concrete,0.25,0,/home/mattyshen/interpretableDistillation/results/07_cv_train_model/rf,rf_plus,no_binary_mapper,0,2,0.5,4,1.0,60,30,l0l2,0.5,l0l2,30,3,100,2,1,{},regression,/home/mattyshen/interpretableDistillation/results/07_cv_train_model/rf/18bbd8b71861e51a375d54c356c1e9ee17ca0028bbde33656b088a069f462a6f,0.8259504120791216,"[0.8201377164018648, 0.8398740573426806, 0.817839462492819]",0.8563936486922485,0.8733372084409722
airfoil,0.25,0,/home/mattyshen/interpretableDistillation/results/07_cv_train_model/rf,random_forest,no_binary_mapper,0,2,0.5,5,0.75,60,30,l0l2,0.5,l0l2,30,3,100,2,1,"{'chord-length': {'0.0254': 0, '0.0508': 1, '0.1016': 2, '0.1524': 3, '0.2286': 4, '0.3048': 5}, 'free-stream-velocity': {'31.7': 0, '39.6': 1, '55.5': 2, '71.3': 3}}",regression,/home/mattyshen/interpretableDistillation/results/07_cv_train_model/rf/22750b68fd0f25c71a8fe13e1bd6f36414737fbe0f5d77d9952881d6540b5a59,0.6820737935775957,"[0.6308523148202978, 0.6889838270317451, 0.726385238880744]",0.7627558375646286,0.6929525349505885
airfoil,0.25,0,/home/mattyshen/interpretableDistillation/results/07_cv_train_model/rf,rf_plus,no_binary_mapper,0,2,0.5,4,1.0,60,30,l0l2,0.5,l0l2,30,3,100,2,1,"{'chord-length': {'0.0254': 0, '0.0508': 1, '0.1016': 2, '0.1524': 3, '0.2286': 4, '0.3048': 5}, 'free-stream-velocity': {'31.7': 0, '39.6': 1, '55.5': 2, '71.3': 3}}",regression,/home/mattyshen/interpretableDistillation/results/07_cv_train_model/rf/297a3e984ae0cb18b395f359f1b99ea8581e8d8e3b56b19aa191542b2d771520,0.6739678917832747,"[0.6116556604285022, 0.7077301360607002, 0.7025178788606219]",0.717802252558357,0.6430211644339718
miami_housing,0.25,0,/home/mattyshen/interpretableDistillation/results/07_cv_train_model/rf,rf_plus,no_binary_mapper,0,2,0.5,4,0.75,60,30,l0l2,0.5,l0l2,30,3,100,2,1,"{'avno60plus': {'0.0': 0, '1.0': 1}, 'month_sold': {'1.0': 0, '2.0': 1, '3.0': 2, '4.0': 3, '5.0': 4, '6.0': 5, '7.0': 6, '8.0': 7, '9.0': 8, '10.0': 9, '11.0': 10, '12.0': 11}, 'structure_quality': {'1.0': 0, '2.0': 1, '3.0': 2, '4.0': 3, '5.0': 4}}",regression,/home/mattyshen/interpretableDistillation/results/07_cv_train_model/rf/29afc23e7e6d8cd75c01add2c5eb62b5c8b9d1c64af9276c36894d9d97bb8f31,0.8277786380288826,"[0.8452603845081486, 0.8188469750619248, 0.8192285545165747]",0.8451926136943236,0.8196520454154286
powerplant,0.25,0,/home/mattyshen/interpretableDistillation/results/07_cv_train_model/rf,rf_plus,no_binary_mapper,0,2,0.5,4,1.0,60,30,l0l2,0.5,l0l2,30,3,100,2,1,{},regression,/home/mattyshen/interpretableDistillation/results/07_cv_train_model/rf/2a1557b86b678351f4eabbf1a0bdabc9518ee3881e0460aab054a4a90b5ccb10,0.9370894110349882,"[0.9413847098381032, 0.9324131552512049, 0.9374703680156564]",0.9381918407223422,0.9402333565985618
airfoil,0.25,0,/home/mattyshen/interpretableDistillation/results/07_cv_train_model/rf,rf_plus,no_binary_mapper,0,2,0.5,5,1.0,60,30,l0l2,0.5,l0l2,30,3,100,2,1,"{'chord-length': {'0.0254': 0, '0.0508': 1, '0.1016': 2, '0.1524': 3, '0.2286': 4, '0.3048': 5}, 'free-stream-velocity': {'31.7': 0, '39.6': 1, '55.5': 2, '71.3': 3}}",regression,/home/mattyshen/interpretableDistillation/results/07_cv_train_model/rf/2c40c1d1edd6e4b77df2fb6fdc4174df39aa79277eaeb9dc8a29b40c88fc9e1a,0.7233999944927559,"[0.6607899394695981, 0.7555824281604832, 0.7538276158481867]",0.7798104370859134,0.7067773188616013
