Concept Name,Concept Description,Concept Question,Possible Responses,Response Guide,Response Mapping
Ambiance Experience,"Ambiance experience refers to the overall atmosphere, decor, and vibe of the restaurant as perceived by the reviewer. It includes factors such as lighting, noise level, interior design, and overall feel of the dining space.",How would you describe the ambiance experience of the restaurant based on the review?,"['poor ambiance', 'average ambiance', 'good ambiance', 'excellent ambiance']","{'poor ambiance': 'The review highlights negative aspects of the ambiance such as uncomfortable seating, unpleasant lighting, excessive noise, or uninviting decor.', 'average ambiance': 'The review mentions the ambiance in a neutral or general manner without significant praise or criticism.', 'good ambiance': 'The review praises the ambiance for creating a pleasant dining atmosphere with elements like cozy lighting, tasteful decor, and a comfortable setting.', 'excellent ambiance': 'The review enthusiastically describes the ambiance as outstanding, exceptional, and contributing significantly to the overall dining experience.'}","{'poor ambiance': -1, 'average ambiance': 0, 'good ambiance': 1, 'excellent ambiance': 2}"
Timing and Pacing,"Timing and Pacing refers to the speed and efficiency of service provided by the restaurant staff as perceived by the reviewer. It encompasses factors such as the promptness of food delivery, waiting times for orders, and overall flow of the dining experience.",How would you rate the timing and pacing of the service?,"['fast and efficient', 'adequate', 'slow and inconsistent', 'unclear']","{'fast and efficient': 'The service was quick, prompt, and well-timed, enhancing the overall dining experience.', 'adequate': 'The timing and pacing of service were satisfactory, neither impressively quick nor notably slow.', 'slow and inconsistent': 'The service was slow, delayed, or inconsistent, leading to a subpar dining experience.', 'unclear': 'It was difficult to determine the speed and efficiency of service, or the timing seemed irregular or poorly managed.'}","{'fast and efficient': 1, 'adequate': 0, 'slow and inconsistent': -1, 'unclear': 0}"
Food Quality Satisfaction,"Food quality satisfaction pertains to the perceived level of satisfaction with the taste, presentation, and overall quality of the food served at the restaurant as expressed by the reviewer. It considers the flavors, freshness, portion sizes, and overall culinary experience.",How satisfied is the reviewer with the food quality?,"['highly satisfied', 'satisfied', 'unsatisfied', 'very unsatisfied']","{'highly satisfied': 'The reviewer expresses a high level of satisfaction with the food quality, mentioning exceptional flavors, freshness, presentation, and overall culinary experience.', 'satisfied': 'The reviewer is satisfied with the food quality, finding the flavors, presentation, and overall quality to be pleasing.', 'unsatisfied': 'The reviewer is not satisfied with the food quality, mentioning shortcomings in flavors, freshness, presentation, or overall culinary experience.', 'very unsatisfied': 'The reviewer is highly dissatisfied with the food quality, highlighting significant issues with flavors, freshness, presentation, or overall culinary experience.'}","{'very unsatisfied': -2, 'unsatisfied': -1, 'satisfied': 1, 'highly satisfied': 2}"
Value for Money Perception,"Value for Money Perception refers to how reviewers assess the cost of dining at the restaurant relative to the quality of the food, service, ambiance, and overall experience. It reflects the perceived balance between the price paid and the perceived benefits or satisfaction gained from the dining experience.",How do reviewers perceive the cost of dining at the restaurant in relation to the overall experience?,"['excellent value for money', 'good value for money', 'poor value for money', 'uncertain']","{'excellent value for money': 'Reviewers perceive the dining experience as offering excellent value for money, where the quality of food, service, and ambiance exceeds the cost paid.', 'good value for money': 'Reviewers find the dining experience to provide good value for money, with a reasonable balance between cost and benefits.', 'poor value for money': 'Reviewers believe that the dining experience is poor value for money, indicating that the cost outweighs the perceived benefits or satisfaction.', 'uncertain': 'It is unclear or challenging to determine whether the dining experience provides value for money based on the information provided.'}","{'excellent value for money': 2, 'good value for money': 1, 'poor value for money': -1, 'uncertain': 0}"
Inconsistent Reviewer Experience,"The concept of 'Inconsistent Reviewer Experience' captures the varying opinions and mixed feedback expressed by reviewers regarding their overall dining experience at the restaurant. It reflects the disparity in perceptions, satisfaction levels, or evaluation criteria among different reviewers, leading to divergent ratings.",How would you describe the consistency of the reviewer's experience in the text?,"['consistently negative', 'mixed', 'consistently positive', 'neutral']","{'consistently negative': 'The text consistently reflects negative feedback, dissatisfaction, or criticism regarding the dining experience.', 'mixed': 'The text presents a mix of positive and negative feedback or evaluations, indicating differing perspectives or experiences.', 'consistently positive': 'The text consistently conveys positive feedback, satisfaction, or praise regarding the dining experience.', 'neutral': 'The text does not strongly lean towards either positive or negative feedback, presenting a neutral stance or lack of strong opinions.'}","{'consistently negative': -2, 'mixed': 0, 'consistently positive': 2, 'neutral': 1}"
Menu Variety Diversity,"Evaluation of the range and diversity of food options available on the restaurant's menu as perceived by the reviewer. It includes the selection's breadth, unique dishes, and representation of various cuisines or styles.",How would you describe the diversity and range of food options on the menu?,"['extensive variety', 'limited options', 'specialty focus', 'unbalanced selection']","{'extensive variety': 'The menu offers a wide range of food options, including various cuisines, dishes, and flavors, providing a diverse selection to choose from.', 'limited options': 'The menu has a restricted or limited variety of food choices, possibly focusing on specific types of cuisine or dishes without much diversity.', 'specialty focus': 'The menu emphasizes a particular culinary focus or specialty, such as regional cuisine, signature dishes, or thematic offerings that cater to a niche audience.', 'unbalanced selection': 'The menu shows an imbalanced selection of food options, with an uneven distribution of choices that may lack variety or fail to cater to different preferences.'}","{'extensive variety': 1, 'limited options': -2, 'specialty focus': 0, 'unbalanced selection': -1}"
Ingredient Flavour Profile,"Ingredient Flavour Profile refers to the distinct taste and flavor characteristics imparted by the ingredients used in the dishes served at the restaurant, as perceived by the reviewer. It focuses on the unique and prominent flavors that enhance the overall culinary experience.",How would you describe the taste impact of ingredients in the dishes?,"['rich and distinctive flavors', 'balanced and complementary flavors', 'subdued or bland flavors', 'unidentifiable flavors']","{'rich and distinctive flavors': 'The dishes exhibit a pronounced and exceptional taste profile, with ingredients contributing rich and unique flavors that stand out.', 'balanced and complementary flavors': 'The flavors in the dishes are well-balanced and harmonious, enhancing each other to create a delightful culinary experience.', 'subdued or bland flavors': 'The taste of the ingredients in the dishes is lacking in intensity or excitement, resulting in a subdued or underwhelming flavor profile.', 'unidentifiable flavors': 'It is difficult to discern or identify the specific flavors of the ingredients used in the dishes, leading to a lack of distinct taste impressions.'}","{'rich and distinctive flavors': 2, 'balanced and complementary flavors': 1, 'subdued or bland flavors': -1, 'unidentifiable flavors': 0}"
Service Efficiency,"Service Efficiency refers to the promptness, attentiveness, and overall effectiveness of the restaurant staff in serving customers during their dining experience. It includes factors such as quick order processing, timely food delivery, rapid table turnover, and seamless coordination among the service team members.",How would you rate the efficiency of the service provided by the restaurant staff?,"['highly efficient', 'efficient', 'inefficient', 'uncertain']","{'highly efficient': 'The service provided by the staff is exceptionally prompt, attentive, and well-coordinated, ensuring a seamless dining experience with quick order processing and timely delivery.', 'efficient': 'The service provided by the staff is satisfactory in terms of promptness and attentiveness, with timely order processing and delivery, contributing to a positive dining experience.', 'inefficient': 'The service provided by the staff is lacking in promptness, attentiveness, or coordination, leading to delays, errors, or frustration during the dining experience.', 'uncertain': 'It is difficult to determine the efficiency of the service provided by the restaurant staff based on the available information or mixed signals in the review.'}","{'highly efficient': 2, 'efficient': 1, 'inefficient': -1, 'uncertain': 0}"
Value Perception Based on Pricing vs Portion Size,"Value Perception Based on Pricing vs Portion Size refers to how reviewers perceive the value of dining at the restaurant in relation to the prices charged and the portion sizes of the dishes. It focuses on the balance between the cost of the meal and the quantity of food received, influencing the overall satisfaction and perception of value.",How do reviewers assess the value of the dining experience based on the pricing and portion sizes?,"['excellent value for money', 'good value for money', 'poor value for money', 'uncertain']","{'excellent value for money': 'Reviewers consider the pricing of dishes to be reasonable or below expectations for the portion sizes provided, resulting in a high perception of value and satisfaction.', 'good value for money': 'Reviewers find the pricing of dishes to be fair and commensurate with the portion sizes offered, leading to a positive perception of value and satisfaction.', 'poor value for money': 'Reviewers perceive the pricing of dishes as high or disproportionate to the portion sizes served, indicating a low perception of value and potential dissatisfaction.', 'uncertain': 'It is unclear how reviewers assess the value of the dining experience based on pricing and portion sizes, or the information provided is ambiguous or insufficient.'}","{'excellent value for money': 2, 'good value for money': 1, 'poor value for money': -1, 'uncertain': 0}"
Flavor Diversity,"Flavor Diversity pertains to the range and variation in taste experiences provided by the dishes served at the restaurant as perceived by the reviewer. It focuses on the diversity, uniqueness, and depth of flavors present in the menu items, reflecting the culinary creativity and richness of the dining experience.",How would you describe the diversity of flavors experienced from the dishes?,"['wide array of flavors', 'varied and distinctive flavors', 'limited flavor profiles', 'lack of flavor diversity']","{'wide array of flavors': 'The dishes exhibit a broad spectrum of tastes, ranging from savory to sweet, with distinct and contrasting flavor profiles that showcase culinary creativity.', 'varied and distinctive flavors': 'The flavors of the dishes are varied, unique, and memorable, offering a mix of tastes that stand out and contribute to a rich gastronomic experience.', 'limited flavor profiles': 'The flavors of the dishes seem repetitive or lack diversity, with a limited range of tastes that may not provide a unique culinary experience.', 'lack of flavor diversity': 'There is a notable absence of diverse or distinctive flavors in the dishes, resulting in a lackluster or monotonous taste experience.'}","{'wide array of flavors': 2, 'varied and distinctive flavors': 1, 'limited flavor profiles': -1, 'lack of flavor diversity': -2}"
