,Service Quality Impact on Rating,Food Quality Impact on Rating,Menu Pricing Perception,Price-Service Disparity,Flavor Profile Impact on Rating,Ingredient Freshness Impact on Rating,Wait Time Perception Impact on Rating,Dining Experience Perception,Ambiance Impact on Low Ratings,Portion Size Impact on Rating
Service Quality Impact on Rating,1.0,0.5351787335405787,0.22504988105960655,0.6562633181862512,0.5098713612316094,0.5518364104277622,0.5847659412654924,0.6516208065503318,-0.3251920013245495,0.18880511221871646
Food Quality Impact on Rating,0.5351787335405787,1.0,0.2736347850119231,0.5368666014323888,0.5970251634581685,0.6768889779321707,0.5129169774560757,0.6776240567139944,-0.29204475165693755,0.20227951179259387
Menu Pricing Perception,0.22504988105960655,0.2736347850119231,1.0,0.39897205949752057,0.31595847905961827,0.32894165608489556,0.19108772877888713,0.288783584179257,-0.02624238352451327,0.12802322875188699
Price-Service Disparity,0.6562633181862512,0.5368666014323888,0.39897205949752057,1.0,0.554532528848073,0.5566239672464747,0.6103532458055669,0.6721629350760157,-0.2328297135207158,0.1531851365137236
Flavor Profile Impact on Rating,0.5098713612316094,0.5970251634581685,0.31595847905961827,0.554532528848073,1.0,0.6748896032231755,0.497731837478346,0.6540546702933032,-0.29053283623295034,0.1453500554576561
Ingredient Freshness Impact on Rating,0.5518364104277622,0.6768889779321707,0.32894165608489556,0.5566239672464747,0.6748896032231755,1.0,0.5474897833095584,0.6850332588816007,-0.3243443612849086,0.2533650856211753
Wait Time Perception Impact on Rating,0.5847659412654924,0.5129169774560757,0.19108772877888713,0.6103532458055669,0.497731837478346,0.5474897833095584,1.0,0.6496624927541281,-0.2763348504849321,0.1945758990736391
Dining Experience Perception,0.6516208065503318,0.6776240567139944,0.288783584179257,0.6721629350760157,0.6540546702933032,0.6850332588816007,0.6496624927541281,1.0,-0.3820653413843653,0.20559553392212948
Ambiance Impact on Low Ratings,-0.3251920013245495,-0.29204475165693755,-0.02624238352451327,-0.2328297135207158,-0.29053283623295034,-0.3243443612849086,-0.2763348504849321,-0.3820653413843653,1.0,-0.08637338197315104
Portion Size Impact on Rating,0.18880511221871646,0.20227951179259387,0.12802322875188699,0.1531851365137236,0.1453500554576561,0.2533650856211753,0.1945758990736391,0.20559553392212948,-0.08637338197315104,1.0
