Concept Name,Concept Description,Concept Question,Possible Responses,Response Guide,Response Mapping
Economic Significance,"This concept refers to whether the text content discusses, refers to or alludes to matters of economic interest, importance or impact. This could include aspects such as growth rates, macroeconomic factors, fiscal policy, trade and investment, corporate financial performance, insurance cost, financial estimates, and similar economic or business-oriented topics.",What is the level of focus on economic topics in the text?,"['high', 'moderate', 'low', 'no relevance', 'uncertain']","{'high': 'Text primarily concerns economic subjects, commenting extensively on growth rates, trade policies, financial performance, or economic policies.', 'moderate': 'Text references economic issues, but they are not the principal point of discussion.', 'low': 'Text mentions economic subjects infrequently, and they constitute a minor part of the main focus.', 'no relevance': 'The text does not allude to or mention any economic issue at all.', 'uncertain': ""Text's reference to economic topics is unclear, insufficient in context or vague, making it difficult to determine the level of focus on economics.""}","{'high': 2, 'moderate': 1, 'low': -1, 'no relevance': -2, 'uncertain': 0}"
Tech-related terminology,"'Tech-related terminology' refers to the specific jargon, terminology, technologies, gadgets, corporate entities, and individuals associated with the field of technology. This includes terms relating to software development, hardware, programming languages, operating systems, internet services, tech companies and their products, popular tech figures, cutting-edge technology trends etc.",What is the frequency of tech-related terminologies usage in the text?,"['high frequency', 'moderate frequency', 'low frequency', 'no tech-related terminology', 'uncertain']","{'high frequency': 'The text is saturated with tech-related terms like specific technology companies, their products, brand names, and discussions about software, hardware, internet services, IT trends etc., making it heavily focused on technology.', 'moderate frequency': 'The text contains significant tech-related terms. While there is a clear element of technology, it is balanced with other topics.', 'low frequency': 'The text contains minimal tech-related terms. The primary subject matter is unrelated to technology, but there could be slight mentions or references to technological aspects.', 'no tech-related terminology': 'The text is void of any tech-related terminologies, names of tech companies, products, software, or hardware.', 'uncertain': 'Determining the frequency of tech-related terminology is challenging due to ambiguity, vague phrasing, or lack of context in the text.'}","{'high frequency': 2, 'moderate frequency': 1, 'low frequency': -1, 'no tech-related terminology': -2, 'uncertain': 0}"
Sporting Event References,"This concept refers to any mention or reference to sports events, teams, player names, scorelines, sports-related terminologies, stadiums, competitions, etc in the text. It can be specific to any sport like basketball, soccer, tennis, golf, etc. This would be more prevalent in texts associated with 'Sports' category.",What is the level of sports-related references in the text?,"['high', 'medium', 'low', 'no reference', 'uncertain']","{'high': 'The text significantly revolves around a sports event, teams, players and includes detailed information related to the event, scores or key persons involved.', 'medium': ""The text includes references to a sports event, teams, players but doesn't necessarily revolve around it. Sports-related information constitutes a part of the text."", 'low': ""The text includes minor or very occasional mention of sports events, teams, players but isn't the focal point of the content."", 'no reference': 'The text does not include any reference to sports, teams, or players.', 'uncertain': 'It is difficult to determine the level of sports-related references in the text.'}","{'high': 4, 'medium': 3, 'low': 2, 'no reference': 1, 'uncertain': 0}"
Business deal/transaction,"This concept refers to whether the text discusses, refers to, or alludes to matters related to business deals, transactions, mergers & acquisitions or financial partnerships between companies or organizations. It can also relate to possible implications of these transactions, as well as corporate strategies and negotiations surrounding them.","What type of business deal or transaction, if any, does the text discuss?","['major deal/transaction', 'minor deal/transaction', 'potential deal/transaction', 'no deal/transaction', 'uncertain']","{'major deal/transaction': 'The text explicitly discusses a major business deal, transaction, merger, acquisition or financial partnership which has significant implications for the involved parties or the industry. Examples could include the merger of two large corporations, or a significant acquisition that is likely to shift market dynamics.', 'minor deal/transaction': 'The text discusses a minor or routine business transaction or deal, likely to have limited impact on the involved parties or the market. This could include day-to-day transactions, smaller contracts, or less significant business agreements.', 'potential deal/transaction': 'The text discusses potential, anticipated, or speculated deals or transactions, including future business strategies, rumors about potential mergers, acquisitions, partnerships etc. Uncertainty underlies this category as the deal or transaction has not yet occurred, but is a topic of discussion in the text.', 'no deal/transaction': 'The text does not discuss or refer to any business deals, transactions, partnerships etc. This should be selected if the content of the text is unrelated to any form of business transaction.', 'uncertain': 'The text does not give enough information to clearly identify if a business deal or transaction is discussed. For example, it might use vague language or insufficient details to accurately categorize the text under other responses.'}","{'major deal/transaction': 2, 'minor deal/transaction': 1, 'potential deal/transaction': -1, 'no deal/transaction': -2, 'uncertain': 0}"
Global Affairs & Politics,"This concept refers to whether the text discusses, refers to or alludes to matters of international relevance such as political incidents, diplomacy, state relations, global conflicts, peace negotiations, foreign policies, territorial disputes, international councils or alliances, etc. Such mentions typically indicate that the text belongs to the 'World' category.",How significantly does the text discuss aspects related to global affairs & politics?,"['high', 'medium', 'low', 'no relevance', 'uncertain']","{'high': 'The text extensively discusses aspects of global affairs and politics, such as detailed analyses of foreign policies, comprehensive reports on international councils or alliances, or in-depth dissections of global conflicts.', 'medium': 'The text mentions aspects of global affairs and politics as a peripheral subject or subplot, such as brief discussions of political incidents or minor details of diplomatic relations.', 'low': 'The text only lightly touches upon matters related to global affairs and politics, such as passing allusions to territorial disputes or tacit references to peace negotiations.', 'no relevance': 'The text does not address or involve topics of global affairs & politics at all.', 'uncertain': 'The text is vague, lacks context or contains ambiguous statements, making it difficult to define the extent to which it discusses global affairs & politics.'}","{'high': 3, 'medium': 2, 'low': 1, 'no relevance': 0, 'uncertain': -1}"
Mention of Competition,"This concept refers to the mention of any competitive event or competition associated with traditional and e-sports, including but not limited to sports leagues, championships, tournaments, matches, games, or any type of athletic competition. It is usually common in texts related to the 'sports' category.","Does the text mention a sports competition, league, championship, tournament, or match?","['multiple mentions', 'single mention', 'indirect mention', 'no mention', 'uncertain']","{'multiple mentions': 'The text mentions more than one sports competition or event.', 'single mention': 'The text mentions a sports competition or event once.', 'indirect mention': 'The text indirectly refers to a sports competition or event, perhaps by referring to results or players involved.', 'no mention': 'The text does not mention any sports competition or event.', 'uncertain': 'It is unsure or ambiguous whether the text is referring to a sports competition or event.'}","{'multiple mentions': 3, 'single mention': 2, 'indirect mention': 1, 'no mention': -1, 'uncertain': 0}"
Geographical References,"This concept refers to any mention of geographical locations or specific regions in the text. This includes names of countries, cities, regions, continents, landmarks, or geographical features. The presence and frequency of these references could provide clues towards the category of the news article such as 'world' or 'business'.",How prominently are geographical references featured in the text?,"['high', 'moderate', 'low', 'no reference', 'uncertain']","{'high': 'The text contains several different geographical locations or those locations are mentioned frequently throughout the text.', 'moderate': 'The text mentions one or two individual geographical locations a few times.', 'low': ""Geographical locations are mentioned in the text, but they're not the main focus or mentioned frequently."", 'no reference': 'The text does not mention any geographical locations.', 'uncertain': ""It's not clear if the text is referring to geographical locations or not.""}","{'high': 3, 'moderate': 2, 'low': 1, 'no reference': 0, 'uncertain': -1}"
Scientific Process and Methodology,"This concept refers to mentions or references to scientific processes, methodologies, experiments or studies in the text. It includes detailed explanations or discussions on scientific tests, measurable data or facts, evaluation or analysis procedures, research methodologies, scientific investigations or discoveries. It is common in texts related to the 'sci/tech' category.","Does the text refer to or discuss any scientific process, methodology, experiments or studies?","['extensive reference', 'brief reference', 'indirect reference', 'no reference', 'uncertain']","{'extensive reference': ""The text provides a detailed explanation or discussion on a scientific process, methodology, experiment or study. For example, the text might discuss a specific scientific method like 'Double blind placebo controlled studies', or explain a particular scientific discovery in depth."", 'brief reference': 'The text mentions a scientific process, methodology, experiment or study, but does not go into great detail. For example, the text could mention a scientific fact or a concept without extending it further.', 'indirect reference': 'The text alludes to a scientific process, methodology, experiment or study, but does not explicitly mention it. This can occur when the text discusses a result or conclusion of a study without mentioning the study itself.', 'no reference': 'The text does not mention or refer to any scientific process, methodology, experiment or study at all. This can include articles purely about opinions, beliefs or subjective themes.', 'uncertain': ""The text may or may not refer to a scientific process, methodology, experiment or study. The reference, if any, is unclear or ambiguous. This could occur when it's hard to distinguish between a scientific idea or a general idea.""}","{'extensive reference': 2, 'brief reference': 1, 'indirect reference': -1, 'no reference': -2, 'uncertain': 0}"
Corporate Strategic Movements,"The 'Corporate Strategic Movements' concept refers to references, mentions, or discussions in the text related to strategic decisions made by companies or corporations. It includes corporate restructuring, management reshuffling, expansion plans, downsizing, changes in corporate direction or strategy, product/service launches, etc. It is generally found within texts categorized as 'business'.","What kind of corporate strategic movement, if any, does the text refer to or discuss?","['major strategic movement', 'minor strategic movement', 'potential strategic movement', 'no strategic movement', 'uncertain']","{'major strategic movement': ""The text discusses in great detail significant strategic changes such as corporate restructuring, aggressive expansion plans, a major downsizing operation, or significant changes in corporate direction or strategy. The discussion should indicate that the strategic movement has or will have a substantial impact, positive or negative, on the company's operational or business standing."", 'minor strategic movement': 'The text mentions strategic changes but these changes are presented as less significant, such as localized or departmental restructuring, smaller-scale expansions, or the launch of a non-core product/service.', 'potential strategic movement': 'The text suggests, speculates, or predicts about possible strategic changes, but there are no clear, definitive statements or confirmations about such changes actually happening.', 'no strategic movement': 'The text does not contain any mention of corporate strategic movements, or any changes or developments it mentions are clearly non-strategic in nature, such as routine business operations or individual personnel changes.', 'uncertain': 'If based on the text, an accurate determination cannot be made about whether it discusses any corporate strategic movements. This might be because the text is too vague, ambiguous, or lacking in sufficient context or detail.'}","{'major strategic movement': 2, 'minor strategic movement': 1, 'potential strategic movement': 0, 'no strategic movement': -1, 'uncertain': 0}"
Corporate Financial Performance,"The concept pertains to any reference, mention, or discussion in the text associated with the financial results or performance of companies or corporations. This includes discussions on profits, losses, earnings, sales, and other financial indicators.",What information does the text provide regarding the financial performance of a corporate entity?,"['detailed financial performance', 'brief financial performance', 'indirect mention of financial performance', 'no mention of financial performance', 'uncertain']","{'detailed financial performance': ""The text provides comprehensive information about a company's financial performance, often including specific figures such as profits, losses, revenues, and sales, and a thorough discussion of these numbers."", 'brief financial performance': ""The text mentions a company's financial performance but the details, such as specific figures or their thorough discussion, are scant or merely presented without in-depth analysis."", 'indirect mention of financial performance': 'The text alludes to financial performance without providing specific figures, or the financial performance is implied but not clearly stated.', 'no mention of financial performance': ""The text does not mention anything explicitly related to a company's financial performance."", 'uncertain': ""It's ambiguous whether the text refers to a company's financial performance due to lack of context or vagueness in the language used.""}","{'detailed financial performance': 3, 'brief financial performance': 2, 'indirect mention of financial performance': 1, 'no mention of financial performance': 0, 'uncertain': -1}"
