,Financial and Market Terminologies,Sports Terminologies,Technological References,Business Operations References,Geopolitical Terminologies,Scientific Terms and Concepts,Company Transactions,Mentions of Financial Trends,Scientific Developments and Innovations,Technological References,Mentions of Space Exploration,International Policy References,Mentions of Science and Tech Innovations,Mentions of Economic Factors,Mentions of Companies and Brands,Names of Sports Personalities,References to Tech Companies,Presence of Technology Product Features
Financial and Market Terminologies,1.0,-0.30877733661355933,0.28511307903689864,0.8051286890436302,-0.05988418055246102,-0.028889003695741326,0.5691355957820481,0.7331704788486378,0.020272634789513393,0.28511307903689864,-0.15671900988887966,0.06431665399874437,0.09195718658191482,0.5988594245881473,0.2713975566701064,-0.30104845761607585,0.3455542434723958,0.132804833143375
Sports Terminologies,-0.30877733661355933,1.0,-0.42514837093563407,-0.3348730366227451,0.005552545209460807,-0.3094228560077277,-0.18831546127701884,-0.3445198090853363,-0.2992144490385378,-0.42514837093563407,-0.13528742246875097,-0.28156378415688565,-0.32773097525804834,-0.253128727140864,0.10821625394959554,0.8220123908092241,-0.3228710529829937,-0.2613829069932274
Technological References,0.28511307903689864,-0.42514837093563407,1.0,0.39995711812854245,-0.27414203912294116,0.4418540551610917,0.3625329743961536,0.16837911185139293,0.6468514999478051,1.0,0.25468114476914433,-0.08094092523667748,0.7076906986405584,0.02687483823610183,0.27635935785019644,-0.41575698935744815,0.748664156132319,0.6473010270258968
Business Operations References,0.8051286890436302,-0.3348730366227451,0.39995711812854245,1.0,-0.09142950372579478,0.04035370847593053,0.5986691475649546,0.6334229636457628,0.14228529590308253,0.39995711812854245,-0.11268221645073295,0.06101704221250527,0.20819154554800282,0.520669709101727,0.3471615590974441,-0.3389116639110921,0.4555966668541777,0.2504755929068555
Geopolitical Terminologies,-0.05988418055246102,0.005552545209460807,-0.27414203912294116,-0.09142950372579478,1.0,-0.1284982420264521,-0.11641481235935154,0.1079050441461097,-0.245886484930682,-0.27414203912294116,0.043679698792425094,0.31371948791031506,-0.27371941669709027,0.1712141641903774,-0.1642552371096599,-0.010980862737682964,-0.22588606258885316,-0.26382671873594565
Scientific Terms and Concepts,-0.028889003695741326,-0.3094228560077277,0.4418540551610917,0.04035370847593053,-0.1284982420264521,1.0,-0.002097205701135908,-0.09170898048280578,0.7139963364963765,0.4418540551610917,0.38306126027455173,-0.08701373214513758,0.6489795429520147,-0.018253500349588992,0.004120692254713284,-0.23000157888831432,0.21331783465999327,0.46628465707381256
Company Transactions,0.5691355957820481,-0.18831546127701884,0.3625329743961536,0.5986691475649546,-0.11641481235935154,-0.002097205701135908,1.0,0.4389235066916565,0.14229571778858544,0.3625329743961536,-0.12106861857940349,0.0928519571700376,0.19930833908764786,0.2592080885728375,0.37181877031367616,-0.19730354891041904,0.4493229880756241,0.26497395248103184
Mentions of Financial Trends,0.7331704788486378,-0.3445198090853363,0.16837911185139293,0.6334229636457628,0.1079050441461097,-0.09170898048280578,0.4389235066916565,1.0,-0.05927016330530601,0.16837911185139295,-0.11728867716532976,0.10757199728150668,0.008313615967034341,0.7112175820799592,0.15101169099816739,-0.3224944944214152,0.22001358123754403,0.05809623329001864
Scientific Developments and Innovations,0.020272634789513393,-0.2992144490385378,0.6468514999478051,0.14228529590308253,-0.245886484930682,0.7139963364963765,0.14229571778858544,-0.05927016330530601,1.0,0.6468514999478051,0.35691416373140483,-0.10325846001476571,0.9002027924417696,-0.08025395460599788,0.1150312752249573,-0.3066041618275183,0.43874503373747137,0.7497178022261882
Technological References,0.28511307903689864,-0.42514837093563407,1.0,0.39995711812854245,-0.27414203912294116,0.4418540551610917,0.3625329743961536,0.16837911185139295,0.6468514999478051,1.0,0.25468114476914433,-0.08094092523667748,0.7076906986405584,0.02687483823610183,0.27635935785019644,-0.41575698935744815,0.748664156132319,0.6473010270258968
