Concept Name,Concept Description,Concept Question,Possible Responses,Response Guide,Response Mapping
Scientific and technological focus,"The 'Scientific and technological focus' concept refers to the detection of themes, words or topics in the text that relate to scientific events, technological advancements, space exploration, online advances, intrusions, innovations, and initiatives. Articles with this concept are usually filled with techno-jargon, scientific terms, mentions of space, online platforms or technological companies, or scientific processes.","Does the text focus on scientific, technological news, or events?","['strong focus', 'minor focus', 'no focus', 'uncertain']","{'strong focus': 'The text is extensively focused on scientific, technological news, or events. Major themes, keywords, or topics in the article explicitly link to scientific or technological aspects.', 'minor focus': 'The text mentions scientific, technological news, or events, however, it is not the main focus of the article. The mentioned aspects might support or complement the core theme of the article, but they are not the core theme themselves.', 'no focus': 'The text does not mention any scientific, technological news, or events.', 'uncertain': 'It is difficult to categorize the focus of the text due to ambiguity, lack of context, or insufficient information.'}","{'strong focus': 2, 'minor focus': 1, 'no focus': -2, 'uncertain': 0}"
Financial and Business Terminology,"This concept refers to the use of terms, jargon, or terminologies that are typically used in the business and financial world. This could include specific economic principles, investment terms, corporate structures, market trends, financial transactions, business strategies, and analytical tools. A text with a high degree of this concept is usually filled with financial and business-related terms or discusses events, individuals, or companies in the business world.",What is the use of financial and business-related terms in the text?,"['heavy use', 'moderate use', 'no use', 'uncertain']","{'heavy use': 'The text is heavily populated with financial and business-related terms or discusses events, individuals, or companies in the business world in depth. There is a clear focus on business or financial matters.', 'moderate use': 'The text contains some financial or business-related terms or mentions events, individuals, or companies in the business world, but it is not the main focus of the text.', 'no use': 'The text does not contain any financial or business-related terms or discussions about the business world.', 'uncertain': ""It's unclear whether the text contains financial or business-related terms or discusses the business world due to lack of context or ambiguous terms.""}","{'heavy use': 2, 'moderate use': 1, 'no use': -1, 'uncertain': 0}"
Coverage of Global Events,"'Coverage of Global Events' refers to the extent to which a text discusses or mentions international affairs, geopolitical developments, global crises, international relations, or diplomacy. A text with high 'Coverage of Global Events' would feature countries, international organizations, global conflicts, political leaders, or global policies prominently.",To what extent does the text cover global events?,"['high', 'moderate', 'little to none', 'uncertain']","{'high': 'The text significantly focuses on international affairs, discussing geopolitical developments, global crises, international relations, or diplomacy prominently.', 'moderate': 'The text mention global events, but they are not the main focus of the text.', 'little to none': 'The text does not cover global events, or if it does, the mentions are negligible and not a significant part of the text.', 'uncertain': 'It is challenging to determine the extent of coverage of global events based on the text.'}","{'high': 2, 'moderate': 1, 'little to none': -1, 'uncertain': 0}"
Sporting Event and Athletes Mentions,"This concept identifies the presence of sporting references, as well as mentions of athletes or sporting teams within the text. This concept can help determine if the text is related to sports news.","Does the text mention any sporting event, athlete or sports team?","['High mentions', 'Moderate mentions', 'No mentions', 'Uncertain']","{'High mentions': 'The text prominently mentions sporting events or athletes/teams. The topic is central to the text.', 'Moderate mentions': 'The text mentions sporting events or athletes/teams, but this information is not the core subject of the text.', 'No mentions': 'The text does not mention any sporting events or athletes/teams.', 'Uncertain': 'It is unsure whether any sporting events or athletes/teams are mentioned in the text.'}","{'High mentions': 2, 'Moderate mentions': 1, 'No mentions': -1, 'Uncertain': 0}"
Geopolitical Context,"The concept 'Geopolitical Context' refers to incidents, events, situations, or discussions that involve countries, governments, international politics, world leaders, international relations, or global issues. This can include trade disputes between countries, diplomatic tensions, national or international policy debates, significant global events, or actions of world leaders.",Does the text refer to any geopolitical context or international relationships?,"['pronounced presence', 'minor mentions', 'absent', 'uncertain']","{'pronounced presence': 'The text has numerous or substantial references to geopolitical contexts or international relationships, indicating a primary focus on these topics', 'minor mentions': 'The text contains some references to geopolitical events or concepts, but these do not represent the main topic of the text', 'absent': 'There are no clear or specific references to geopolitical issues, events, or international relationships', 'uncertain': 'It is unclear whether the text refers to any geopolitical context; the text might be ambiguous, vague, or lacks sufficient context.'}","{'pronounced presence': 2, 'minor mentions': 1, 'absent': -1, 'uncertain': 0}"
Presence of Sports Terminology,"This concept refers to the usage or presence of specific sports-related terms, vocabulary, or jargon in the text. Such terms could include various sports names, sports rules or techniques, names of sports teams, or famous athletes. High presence indicates the text is significantly about sports or sporting events.","What is the extent of sports-related terms, vocabulary, or jargon used in the text?","['high presence', 'moderate presence', 'no presence', 'uncertain']","{'high presence': 'The text includes numerous sports-related terms, vocabulary, or jargon. The text is substantially about a sports event, team, or athlete.', 'moderate presence': 'The text includes several sports-related terms, vocabulary, or jargon but may also discuss other non-sports-related topics.', 'no presence': 'The text includes little to no sports-related terms, vocabulary, or jargon and is primarily about non-sports-related topics.', 'uncertain': 'It is unclear or difficult to determine the extent of sports-related terms, vocabulary, or jargon used in the text.'}","{'high presence': 2, 'moderate presence': 1, 'no presence': -1, 'uncertain': 0}"
Commercial and Market Trends,"'Commercial and Market Trends' refers to content that highlights information about commercial developments, business strategies, marketing tactics, market fluctuations, rising and falling stocks, and other trends affecting business and commerce. This can include discussions about company profits, business expansions, mergers and acquisitions, market analysis and forecasts, consumer needs, and product or service offerings.",What extent does the text cover commercial and market trends?,"['high coverage', 'medium coverage', 'low coverage', 'no coverage']","{'high coverage': 'The text contains an extensive amount of information about commercial developments, market trends, business strategies, forecasted economic changes, or other significant business aspects. This may include key players in business, economic forecast, financial strategies, marketing developments, mergers and acquisitions, etc.', 'medium coverage': 'The text contains some information about commercial and market trends, but it is not the primary focus or it is mixed with other topics.', 'low coverage': 'The text contains very little information about commercial and market trends and such topics are only superficially touched upon or mentioned briefly.', 'no coverage': 'The text does not mention or involve commercial and market trends, instead focusing on other themes or subjects.'}","{'high coverage': 3, 'medium coverage': 2, 'low coverage': 1, 'no coverage': 0}"
Presence of World Politics and Diplomacy,"This concept refers to the extent to which a text discusses or mentions politics, diplomatic relations or geopolitical affairs on a global scale. This includes mentions of political leaders, nations' policies, political events, diplomatic negotiations, international alliances, and conflicts. Texts with a high degree of this concept are likely interacting with global political affairs, international diplomacy or politico-geographical issues.",To what extent does the text discuss global political or diplomatic affairs?,"['high', 'moderate', 'no mention', 'uncertain']","{'high': 'The text discusses global politics or diplomacy extensively. The information might be concerning national leaders, international policies, geopolitics, or major political events.', 'moderate': ""The text makes occasional mention of world politics or diplomatic affairs, but it's not the primary subject matter."", 'no mention': 'The text does not refer to or discuss any global politics or diplomatic issues.', 'uncertain': 'It is not clear whether the text discusses global politics or diplomacy, or the mentions are ambiguous or vague.'}","{'high': 2, 'moderate': 1, 'no mention': -1, 'uncertain': 0}"
Financial Reporting and Transactions,"This concept refers to the inclusion of specific terms or phrases that suggest the text is reporting on financial information. This includes mentions of financial records, earnings, revenues, financial losses, transactions, investments, stock market changes, financial agreements, or financial indicators such as GDP, inflation, etc. Texts that heavily use this concept tend to delve into financial details or monetary agreements, and often mention companies, markets, or economies.",To what extent does the text report on financial information or transactions?,"['high extent', 'moderate extent', 'low extent', 'no extent']","{'high extent': 'The text reports in detail about financial information or transactions. It mentions several financial terms and seems to be centered around financial reporting or agreements.', 'moderate extent': 'The text might mention some financial terms or transactions as part of a larger context, but it is not the primary focus.', 'low extent': 'The text has very little mention of financial terms or transactions. They might be mentioned as an aside or in a context not related to the main focus of the text.', 'no extent': 'The text has no mentions or references to financial terms, transactions, or reporting.'}","{'high extent': 2, 'moderate extent': 1, 'low extent': -1, 'no extent': -2}"
Global Political Dynamics,"This concept refers to the detection of words, themes or topics within the text that are connected to international politics or diplomatic relations. It could include mentions of political leaders, international crises, policy discussions, political alliances, relations between countries, and measures taken by governments. Texts scoring high for this concept are likely to be related to worldwide political activities or events affecting global relations.",To what extent does the text deal with international politics or diplomatic relations?,"['high presence', 'moderate presence', 'low presence', 'no presence']","{'high presence': 'The text largely revolves around or frequently discusses international politics, diplomatic relations or mentions key political figures, international crises or policy discussions.', 'moderate presence': 'The text mentions international politics or diplomacy, but it is not the main focus of the text. It may include a few references to political figures, policy discussions or crises.', 'low presence': 'The text includes occasional mentions of international politics or diplomacy but lacks depth or frequent references to them.', 'no presence': 'The text does not include mentions of international politics or diplomatic relations.'}","{'high presence': 3, 'moderate presence': 2, 'low presence': 1, 'no presence': 0}"
Technical and Software Terminology,"This concept refers to the use of words or phrases that are commonly associated with technological and software-related topics. It includes mention of specific software, hardware, programming languages, operating systems, digital platforms, and technology companies. Texts with a high presence of such terminology are likely to be discussing technology or software-related subjects.",What is the extent of technical and software terminology used in the text?,"['high presence', 'moderate presence', 'low presence', 'no presence']","{'high presence': 'Text heavily uses technical and software-related terms or describes events, products or companies in the technology sector. It includes mentions of software, hardware, programming languages, operating systems, digital platforms, and technology companies.', 'moderate presence': 'Text incorporates some technical and software-related terms, it may mention a few events, products or companies in the technology sector but not as the main topic.', 'low presence': 'Text includes a few technical phrases or software-related terms, or may briefly mention events, products or companies in the tech industry, but it is not the main focus.', 'no presence': 'Text does not include any discernible technical or software-related terms, or any references to technology companies, events, or products.'}","{'high presence': 1, 'moderate presence': -1, 'low presence': -2, 'no presence': -3}"
Presence of Tech Companies,"'Presence of Tech Companies' refers to the mention or discussion of specific technology companies, their products, or their initiatives. These companies could be involved in various sectors such as software, hardware, internet services, social media, artificial intelligence, consumer electronics, etc. Texts with a high presence of such terminology are likely to indicate a focus on science or technology.",What extent does the text mention or discuss technology or Internet companies and their products or services?,"['high extent', 'moderate extent', 'low extent', 'no mention']","{'high extent': 'Text prominently discusses specific technology or internet companies, their products, or services. Most of the content is related to these topics.', 'moderate extent': 'Text includes some mention or discussion of technology or internet companies, their products, or services, but these are not the primary focus.', 'low extent': 'Text has minimal references to technology or internet companies, their products, or services. These mentions are rare or peripheral to the main content.', 'no mention': 'Text does not mention technology or internet companies, their products, or services at all.'}","{'high extent': 3, 'moderate extent': 2, 'low extent': 1, 'no mention': 0}"
Presence of Geographical Locations,"This concept refers to the explicit mention of countries, cities, regions or any geographical locations in the text. It could be countries participating in diplomatic negotiations, cities experiencing business or financial changes, regions affected by certain global events, or part of scientific advancements. The presence of geographical terminology is typically indicative of world news or international relations.",What is the extent of geographical locations referenced in the text?,"['high', 'medium', 'low', 'no mention']","{'high': 'The text frequently mentions or discusses countries, cities, or geographical regions. These could be linked with political events, scientific advancements, business changes, or global incidents.', 'medium': 'The text mentions or discusses countries, cities, or geographical regions, but not as a primary focus or with high frequency.', 'low': 'The text contains minimal mentions of countries, cities, or geographical regions, not significantly contributing to the overall content.', 'no mention': 'The text does not mention or reference any geographical locations.'}","{'high': 2, 'medium': 1, 'low': -1, 'no mention': -2}"
Innovative Tech Implementation,"This concept refers to text mentions of innovative technology implementation, development or advancement. It includes the introduction of new technologies, technological improvements, updates or technological breakthroughs, launch of tech services, or upgrade of tech tools.","Does the text discuss innovative tech implementation, development, or advancement?","['High mentions', 'Moderate mentions', 'No mentions', 'Uncertain']","{'High mentions': 'The text frequently mentions the innovative tech implementation, updates or breakthroughs, which form the main subject or theme of the text.', 'Moderate mentions': 'The text includes some references to the innovative tech implementation or tech advancements, but these are not the main subject or theme.', 'No mentions': 'The text does not mention any innovative tech implementation, advancement, or updates.', 'Uncertain': 'It is unclear or ambiguous whether the text mentions tech innovation or updates.'}","{'High mentions': 2, 'Moderate mentions': 1, 'No mentions': -1, 'Uncertain': 0}"
Prominent Sports Competitions and Events,"This concept entails the mention or description of major sports competitions, tournaments, matches, or events in the text. It could include notable games, renowned championships, seasonal sports events, title matches, international sports competitions, etc. Texts with a high presence of such mentions are likely to be strongly related to sports or sporting events.",Does the text mention or describe any prominent sports competitions or events?,"['Highly mentioned', 'Moderately mentioned', 'Not mentioned', 'Uncertain']","{'Highly mentioned': 'The text includes multiple references to major sports competitions, tournaments, matches, or events. It may significantly discuss the details or outcomes of these events. It may include specific match scores or tournament results.', 'Moderately mentioned': 'The text includes some references to sports competitions or events, but they may not be the central focus of the text. For instance, a football match or tennis tournament may be mentioned without detailed information about the event.', 'Not mentioned': 'The text does not contain any mention of sports competitions or events.', 'Uncertain': ""It's unclear whether the text mentions any sports competition or event, perhaps due to vagueness or lack of context.""}","{'Highly mentioned': 2, 'Moderately mentioned': 1, 'Not mentioned': -1, 'Uncertain': 0}"
Mention of Global Crises,"The 'Mention of Global Crises' concept relates to the presence of references to major global crises or catastrophic events. These could be natural disasters (earthquakes, hurricanes, pandemics, etc.), violent conflicts, financial crises, or human rights violations. Texts with high occurrence of such mentions usually concern world affairs and international news.",How much does the text refer to a major global crisis or catastrophic event?,"['High incidence', 'Moderate incidence', 'No incidence', 'Uncertain']","{'High incidence': 'Text heavily discusses or refers to a major global crisis, this could be the main subject or theme of the piece.', 'Moderate incidence': ""Text mentions or references a major global crisis, but it's not the central focus of the piece."", 'No incidence': 'The text does not refer to any global crisis or catastrophic event.', 'Uncertain': ""It's unclear or difficult to determine if the text refers to a global crisis or catastrophic event.""}","{'High incidence': 2, 'Moderate incidence': 1, 'No incidence': -1, 'Uncertain': 0}"
