Concept Name,Concept Description,Concept Question,Possible Responses,Response Guide,Response Mapping
Service Quality,"Service Quality refers to the customers' perception of how well the restaurant staff attended to their needs, how friendly they were, their promptness, and the overall service experience. High quality service could involve friendly staff, constant attention to the dining table, quickly resolving any issues, and making customers feel welcomed and important.",How would you rate the service quality described in the review?,"['high', 'medium', 'low', 'not mentioned']","{'high': 'The review positively mentions the service, indicating friendly staff, quick attention to customer needs, quick problem resolution or overall excellent customer service.', 'medium': 'The review mentions the service without a distinct positive or negative experience. The service might have not been excellent but had no significant problems either.', 'low': 'The review negatively mentions the service, indicating rude staff, lack of attention to customer needs, slow problem resolution or overall poor customer service.', 'not mentioned': 'The review does not mention the service quality or the service experience is not assessable from the text.'}","{'high': 2, 'medium': 1, 'low': -2, 'not mentioned': 0}"
Food Quality,"Food Quality refers to the taste, freshness, and presentation of the food served. High quality food would be delicious, visually appealing, fresh ingredients which would leave the customer craving for more. Lower quality food, on the other hand would suggest that the food was not cooked properly, tasteless, overly salty or spicy, visually unattractive and stale ingredients.",How is the quality of the food as per the review?,"['positive', 'negative', 'mixed', 'not mentioned']","{'positive': ""The review positively mentions the taste, presentation, freshness or quality of food. E.g., 'The food was delicious', 'Loved the presentation', 'Ingredients were fresh and tasty'."", 'negative': ""The review contains negative remarks about the quality of the food. E.g., 'The food was tasteless', 'Stale ingredients', 'Unattractive presentation', 'Not cooked properly'."", 'mixed': ""The review contains both positive and negative remarks about the food. For example, 'The steak was not cooked well but the salad was fresh and tasty'."", 'not mentioned': 'The review does not mention about the food quality at all.'}","{'positive': 2, 'negative': -2, 'mixed': 0, 'not mentioned': -1}"
Price Perception,Price Perception refers to how customers see the value of the food and services against the amount they have paid. Positive price perception suggests that the customers thought that the price was reasonable or worth it considering the food quality and service. Negative price perception indicates that the customers found the restaurant too expensive given the food quality and service.,What is the customer's perception of the price?,"['positive', 'negative', 'uncertain', 'not mentioned']","{'positive': ""Review suggests that the customer thought the price was reasonable or worth it given the food quality and service. For instance, review phrases like 'worth the price', 'reasonably priced', 'good value for money', etc. indicate positive price perception."", 'negative': ""Review contains remarks by the customer indicating that the price was too high considering the food quality and service. Phrases like 'too expensive', 'overpriced', 'not worth the money', etc. denote negative price perception."", 'uncertain': ""Review vaguely mentions the pricing aspect or the customer's price perception cannot be clearly discerned from the review. The text might be ambiguous, or lack sufficient context."", 'not mentioned': ""The review does not mention anything about the price or the customer's perception of it.""}","{'positive': 1, 'negative': -1, 'uncertain': 0, 'not mentioned': 0}"
Ambiance,"Ambiance refers to the overall atmosphere and mood set by the restaurant, which can be influenced by elements such as decor, music, lighting, and noise levels. A favorable ambiance will make patrons feel comfortable and enhance their dining experience, whereas a negative ambiance may distract or deter from the overall experience.",How does the text describe the restaurant's ambiance?,"['positive', 'negative', 'uncertain', 'not mentioned']","{'positive': 'The review mentions positive aspects about ambiance which may include comfortable, cozy, quiet, great decor, pleasant music etc.', 'negative': 'Review mentions negative aspects about ambiance such as too loud, poorly lit, lack of decors, uncomfortable seating etc.', 'uncertain': ""Review mentions ambiance but it's unclear whether it's positive or negative or it has both positive and negative aspects mentioned."", 'not mentioned': 'The review does not mention the ambiance of the restaurant at all.'}","{'positive': 1, 'negative': -1, 'uncertain': 0, 'not mentioned': 0}"
Unique_Dining_Experience,"Unique Dining Experience refers to elements of the dining situation that stand out as uncommon or special. This may include thematic restaraunts, events such as live music or performances, remarkable views or locations, historic establishments, or extraordinary dishes or drink offerings.",How unique would you consider the dining experience provided by the restaurant?,"['very unique', 'somewhat unique', 'not unique', 'not mentioned']","{'very unique': 'The review mentions very distinct, uncommon or unique elements that differentiate this restaurant from the norm. This can include aspects related to the location, decorations, menu, events, or history of the restaurant.', 'somewhat unique': 'The review mentions some elements of uniqueness but they do not strongly differentiate the restaurant from others. These can still include aspects related to the location, decorations, menu, events, or history of the restaurant.', 'not unique': 'The review explicitly mentions that the restaurant dining experience is common, normal, or lacks any unique elements that would differentiate it from other restaurants.', 'not mentioned': 'The review does not mention any elements related to the uniqueness of the dining experience.'}","{'very unique': 2, 'somewhat unique': 1, 'not unique': -1, 'not mentioned': 0}"
Repeat Visit Intention,This concept relates to whether the reviewer indicates a desire to return to the restaurant or has mentioned a history of prior visits. The intention of repeat visit signifies a positive experience whereas an indication of never wanting to return is associated with a poor experience.,Does the review mention whether they plan to return or indicate a history of repeat visits?,"['clear intent to revisit', 'may revisit', 'no mention of revisit', ""won't revisit""]","{'clear intent to revisit': 'The review clearly indicates a desire to return to the restaurant or mentions a history of repeat visits.', 'may revisit': 'The review ambiguously indicates they might return to the restaurant.', 'no mention of revisit': 'The review does not reference returning to the restaurant or previous visits.', ""won't revisit"": 'The review clearly states they will not return or had a bad experience on a repeat visit.'}","{'clear intent to revisit': 2, 'may revisit': 1, 'no mention of revisit': 0, ""won't revisit"": -2}"
Dish Specific Comments,This concept captures whether the diner gave any specific comments about individual dishes or food items served. This could include praise or criticism of certain dishes or comments about the portion sizes. Providing detailed feedback about the food indicates that the diner is highly engaged in their restaurant experience and their opinion may be valuable to others considering dining at the same restaurant.,Does the reviewer mention specific dishes in their review and what is the nature of the comment?,"['Positive Mention', 'Negative Mention', 'Mixed Mention', 'No Specific Dish Mention']","{'Positive Mention': ""The reviewer positively mentions specific dishes which they enjoyed during their dining experience, this may include things like 'the pasta dish was great' or 'love their chicken salad.'"", 'Negative Mention': ""The reviewer negatively mentions specific dishes, this could be comments on the dish being poorly cooked, not tasty or disappointing, for example 'Avoid the veal' or 'pizzas are overrated'."", 'Mixed Mention': ""The review contains both positive and negative mentions about specific dishes, e.g., 'salad was lightly covered in dressing. However, avoid the veal.'"", 'No Specific Dish Mention': 'The review does not mention any specific dishes positively or negatively.'}","{'Positive Mention': 1, 'Negative Mention': -1, 'Mixed Mention': 0, 'No Specific Dish Mention': 0}"
Portion Size,"The concept 'Portion Size' refers to the quantity of food served in a meal or dish in the restaurant. It's about whether the portion is satisfied, too small or too big according to the customers. It is significant for expressing a complete dining experience and might affect customers' ratings or reviews.",What does the review say about the portion size of food?,"['large', 'satisfactory', 'small', 'not mentioned']","{'large': 'Review mentions that the portion size of food is generous, overwhelming, or more than they can consume.', 'satisfactory': 'Review mentions that the portion size of food is just right, reasonable, or adequate for them.', 'small': 'Review mentions that the portion size of food is not enough, tiny, or less than expected.', 'not mentioned': 'The review does not mention the portion size of the food.'}","{'large': 1, 'satisfactory': 0, 'small': -1, 'not mentioned': 0}"
Overall Satisfaction,"Overall Satisfaction refers to the overall sentiment expressed in the review, regardless of specific elements such as food quality, service, or price. This captures the overall impression the reviewer has about their dining experience, and can be reflective of factors not explicitly mentioned in the review.",What is the overall sentiment expressed in the review?,"['very positive', 'positive', 'neutral', 'negative', 'very negative']","{'very positive': 'The review expresses a highly positive sentiment about the overall dining experience. Reviewer may use superlative terms of praise or express strong enthusiasm and satisfaction.', 'positive': ""The review expresses a positive sentiment about the overall dining experience, albeit in less enthusiastic terms than 'very positive'. There is a clear expression of satisfaction."", 'neutral': ""The review neither expresses clear satisfaction nor dissatisfaction, or its sentiment could be interpreted in a positive or negative way. The reviewer's language may be noncommittal or could contain both positive and negative elements."", 'negative': ""The review expresses dissatisfaction or a negative sentiment about the overall dining experience. It could point to unmet expectations or disappointing aspects, but doesn't use harsh or strong negative words."", 'very negative': 'The review expresses a strong negative sentiment about the overall dining experience. It may use strong negative words or express strong disappointment or dissatisfaction.'}","{'very positive': 2, 'positive': 1, 'neutral': 0, 'negative': -1, 'very negative': -2}"
Host Experience,"This concept refers to how welcoming and accommodating the host or hostess of the restaurant is. This could be their attitude, response to requests, seating arrangements, or general approach during a guest's dining experience. A positive host experience contributes to the overall satisfaction of diners and good ratings, while the rudeness, unhelpfulness, or seeming indifference of the host can bring the rating down.",What does the review say about the host's role in the dining experience?,"['positive', 'negative', 'uncertain', 'not mentioned']","{'positive': ""Review hints at the host as accommodating, prompt, having a friendly demeanor, or making the guests feel special and welcomed. For instance, the reviewer could appreciate receiving their preferred seating or admiring the host's readiness in assisting them throughout their dining."", 'negative': 'Review mentions unpleasant experiences directly tied to the host such as being unresponsive, rude, dismissive, or disinterested. The reviewer might comment on discomfort caused by seating arrangements, delays in attendance, or a lack of welcoming demeanor.', 'uncertain': 'Review is unclear about whether the host experience was positive or negative.', 'not mentioned': ""The review does not say anything about the host or the host's role in the dining experience.""}","{'positive': 1, 'negative': -1, 'uncertain': 0, 'not mentioned': 0}"
