,Service Quality,Food Quality,Price Perception,Ambiance,Unique_Dining_Experience,Repeat Visit Intention,Dish Specific Comments,Overall Satisfaction,Music Experience,Waiting Time,Customer Expectations,Food Temperature,Restaurant Crowd,Presentation of Food,Restaurant Cleanliness,Meal Variety
Service Quality,1.0,0.14419444572420867,0.0379899213444609,0.045429375515442766,0.0995185497483115,0.1736438267902771,0.15321493785260434,0.4467900334311612,-0.013117638110095272,0.36659805071761664,0.40571859873052796,-0.04148959041628528,0.14116147137025523,0.007545673944513833,-0.04023976000415841,0.07148315086508397
Food Quality,0.14419444572420867,1.0,0.2880665391235658,0.050422288439493985,0.023789709437162736,0.20926721642951154,0.42201615868001463,0.5267072145875455,-0.0613301610055356,-0.03901402806508751,0.4953477750671644,0.12424881396303895,-0.010221020071045282,0.16449787975792166,-0.033739939810475766,0.19489360626179464
Price Perception,0.0379899213444609,0.2880665391235658,1.0,-0.05113438992237355,-0.041321470074643006,0.06985784723482624,0.29156590485863476,0.3029309434096112,-0.035655212486713196,-0.007851251288202347,0.27162979733108117,0.20785678642303113,-0.01103541011087143,-0.0028785948885544674,0.01535104330195014,0.11684509270089367
Ambiance,0.045429375515442766,0.050422288439493985,-0.05113438992237355,1.0,0.22723322774773067,0.09634419654689878,-0.021977988259275816,0.25177258464206537,0.4393930166726225,-0.024355782648134858,0.21796581784070235,-0.01289004059581075,0.3555237504661155,0.10759968641918362,-0.18132720003486358,0.002172655465703055
Unique_Dining_Experience,0.0995185497483115,0.023789709437162736,-0.041321470074643006,0.22723322774773067,1.0,0.0013898583804409811,0.012917290876771027,0.15635992742899232,0.11169992236855274,0.046705219552349034,0.12384879967850396,-0.15458075879827293,0.056309426311734356,0.04245554385224484,0.009996534307964515,-0.032654095953411656
Repeat Visit Intention,0.1736438267902771,0.20926721642951154,0.06985784723482624,0.09634419654689878,0.0013898583804409811,1.0,0.13976776281583375,0.45291215539855223,0.009963185548088305,0.14753883702214396,0.4014498482525082,0.01760988032046244,0.13695512541904928,0.0038207563975361405,-0.1544242806551283,0.034134285932523115
Dish Specific Comments,0.15321493785260434,0.42201615868001463,0.29156590485863476,-0.021977988259275816,0.012917290876771027,0.13976776281583375,1.0,0.34342910241721875,-0.11749096436472262,0.10121626903099407,0.31111666375142366,0.07516579668408604,-0.07243326578668971,0.12031656682815135,-0.05923736754804724,0.2038742891903641
Overall Satisfaction,0.4467900334311612,0.5267072145875455,0.3029309434096112,0.25177258464206537,0.15635992742899232,0.45291215539855223,0.34342910241721875,1.0,-0.01856853900669823,0.19663307455338222,0.8333518389069645,0.0443878624699906,0.1080883019154729,0.15727090246590003,-0.0892116183369019,0.2863165314042428
Music Experience,-0.013117638110095272,-0.0613301610055356,-0.035655212486713196,0.4393930166726225,0.11169992236855274,0.009963185548088305,-0.11749096436472262,-0.01856853900669823,1.0,-0.05150859806600802,-0.05916940770860861,-0.03264071962873909,0.6359230133749251,-0.007081946956605744,-0.05665017757025979,-0.10453215489866331
Waiting Time,0.36659805071761664,-0.03901402806508751,-0.007851251288202347,-0.024355782648134858,0.046705219552349034,0.14753883702214396,0.10121626903099407,0.19663307455338222,-0.05150859806600802,1.0,0.19313664816924916,-0.00718746220145196,0.08982752937280016,-0.06653608345861711,0.008316217996478336,0.09207161125319689
Customer Expectations,0.40571859873052796,0.4953477750671644,0.27162979733108117,0.21796581784070235,0.12384879967850396,0.4014498482525082,0.31111666375142366,0.8333518389069645,-0.05916940770860861,0.19313664816924916,1.0,0.034968470838586625,0.08605515630275541,0.11998686230621548,-0.07792315209361757,0.20876550858755122
Food Temperature,-0.04148959041628528,0.12424881396303895,0.20785678642303113,-0.01289004059581075,-0.15458075879827293,0.01760988032046244,0.07516579668408604,0.0443878624699906,-0.03264071962873909,-0.00718746220145196,0.034968470838586625,1.0,-0.0586717136436079,-0.0026352222334123368,0.01405317947871743,-0.00648280904444687
Restaurant Crowd,0.14116147137025523,-0.010221020071045282,-0.01103541011087143,0.3555237504661155,0.056309426311734356,0.13695512541904928,-0.07243326578668971,0.1080883019154729,0.6359230133749251,0.08982752937280016,0.08605515630275541,-0.0586717136436079,1.0,-0.012729804017903766,-0.016409486144174968,-0.12464223434252324
Presentation of Food,0.007545673944513833,0.16449787975792166,-0.0028785948885544674,0.10759968641918362,0.04245554385224484,0.0038207563975361405,0.12031656682815135,0.15727090246590003,-0.007081946956605744,-0.06653608345861711,0.11998686230621548,-0.0026352222334123368,-0.012729804017903766,1.0,0.0030490710000250585,0.13924877025300655
Restaurant Cleanliness,-0.04023976000415841,-0.033739939810475766,0.01535104330195014,-0.18132720003486358,0.009996534307964515,-0.1544242806551283,-0.05923736754804724,-0.0892116183369019,-0.05665017757025979,0.008316217996478336,-0.07792315209361757,0.01405317947871743,-0.016409486144174968,0.0030490710000250585,1.0,0.007500902506627515
Meal Variety,0.07148315086508397,0.19489360626179464,0.11684509270089367,0.002172655465703055,-0.032654095953411656,0.034134285932523115,0.2038742891903641,0.2863165314042428,-0.10453215489866331,0.09207161125319689,0.20876550858755122,-0.00648280904444687,-0.12464223434252324,0.13924877025300655,0.007500902506627515,1.0
