Concept Name,Concept Description,Concept Question,Possible Responses,Response Guide,Response Mapping
Quality of Service,"This concept 'Quality of Service' corresponds to the level of service provided in the restaurant. This could include the attentiveness of the staff, time taken for service, knowledge of staff, as well as mistakes made in order processing. It will address positive as well as negative service experiences discussed in the review.",What is the nature of the service mentioned in the review?,"['excellent service', 'average service', 'poor service', 'no mention of service']","{'excellent service': ""The review praises the service as outstanding, attentive, efficient, or error-free. Might include phrases like 'staff went above and beyond', 'waiter was very knowledgeable and professional', 'food came out in perfect timing'."", 'average service': ""The review describes the service as acceptable but not outstanding. Comments may be mixed, with some minor positives and negatives, or the service may be acknowledged but not extensively discussed. Phrases like 'service was not bad', 'they did their job', 'could improve their speed' could be mentioned."", 'poor service': ""The review criticizes the service as slow, inattentive, unhelpful, or error-prone. Might include phrases like 'waited too long', 'staff seemed disinterested', 'made mistakes in our order and did not apologize'."", 'no mention of service': 'The review does not make any comment on the service.'}","{'excellent service': 2, 'average service': 1, 'poor service': -2, 'no mention of service': 0}"
Food Quality,"Food quality refers to the taste, freshness, preparation, and presentation of food served in the restaurant. This may encompass factors such as overall taste, texture, temperature, balance of flavors, creativity in dish preparation and presentation, freshness of ingredients, and portion size. A review discussing food quality could either appreciate or criticize the food served.",What does the review say about the quality of the food in the restaurant?,"['poor food', 'no mention of food quality', 'average food', 'excellent food']","{'poor food': 'Review criticizes the food for being tasteless, poorly presented, not fresh, having a small portion size, or being overpriced given the quality.', 'no mention of food quality': 'Review does not mention about the food quality at all.', 'average food': 'Review mentions that the food is neither too bad nor too good. It may taste fine but lack in presentation, or vice versa. The review might express a balanced view of good and bad aspects of the food.', 'excellent food': 'Review mentions the food being delicious, well presented, creatively prepared, fresh, and having an adequate portion size.'}","{'poor food': -2, 'no mention of food quality': 0, 'average food': 1, 'excellent food': 2}"
Timeliness of Service,"The concept 'Timeliness of Service' refers to the speed or promptness of the service provided in the restaurant. It could include the waiting time to be seated, the time it takes for the menu to be presented, the time taken to order, how long it takes for the food to arrive, and the time taken to get the bill. Time delays or quick service can significantly impact the dining experience.",How timely was the service in the restaurant according to the review?,"['very timely', 'somewhat timely', 'not timely', 'uncertain', 'no mention of timeliness']","{'very timely': ""Review indicates that the service was quick, efficient, and responses were prompt. Minimal to no wait times were mentioned. Phrases such as 'immediate seating', 'food arrived quickly', or 'fast check-out' could be used."", 'somewhat timely': ""Review indicates a moderate level of promptness in the service. There may have been slight delays or waits, but they did not significantly impact the overall dining experience. Phrases like 'short wait', 'took a bit to order', 'average service time' could be seen."", 'not timely': ""Review mentions significant delays, slow service, or long waits. Phrases such as 'waited for a long time', 'service was slow', or 'late delivery' could be seen."", 'uncertain': 'The review may be ambiguous, unclear, or lack sufficient information to determine the timeliness of the service. The reviewer may use vague or unclear language regarding the speed of service.', 'no mention of timeliness': 'The review does not comment on the speed or promptness of the service.'}","{'very timely': 2, 'somewhat timely': 0, 'not timely': -2, 'uncertain': 0, 'no mention of timeliness': 0}"
Noise Level,"The concept 'Noise Level' refers to the perceived loudness or quietness of the restaurant as mentioned in the review. Noise can come from various sources such as other diners, the restaurant's music, street noise, among others. It can significantly affect a diner's overall experience, with some preferring a lively, bustling atmosphere, and others preferring a quieter, more tranquil dining environment.",What does the review say about the noise level in the restaurant?,"['too loud', 'too quiet', 'just right', 'uncertain', 'no mention of noise level']","{'too loud': 'The review mentions that the noise level in the restaurant was too high, possibly causing inconvenience or disturbance.', 'too quiet': 'The review mentions that the restaurant was too quiet or lacked atmosphere which might not be appealing to some diners.', 'just right': 'The review mentions that the noise level was just right and contributed to a positive dining experience.', 'uncertain': ""The review mentions noise but it's unclear if it's being portrayed in a negative or positive light, or without sufficient context to determine."", 'no mention of noise level': 'The review does not mention anything about the noise level in the restaurant.'}","{'too loud': -2, 'too quiet': -1, 'just right': 2, 'uncertain': 0, 'no mention of noise level': 1}"
Menu Variety,"The concept 'Menu Variety' refers to the range of food and drink choices available in the restaurant as mentioned in the review. It might be related to a diverse array of dishes, dietary choices, portion sizes, or options for different meals. Limited choices or a wide variety can significantly impact a diner's overall experience.",What is the reviewer's perception about the range of food and drink choices available in the restaurant?,"['wide variety', 'limited variety', 'average variety', 'no mention of menu variety']","{'wide variety': 'The review mentions a large selection of dishes or options on the menu, offering choices to cater to various preferences, dietary restrictions, or meal types.', 'limited variety': 'The review expresses dissatisfaction with the range of choices available, indicating a lack of diversity in the menu items, or missing options for specific dietary needs or meal types.', 'average variety': 'The review does not particularly praise or criticize the range of choices, indicating that the variety is of standard or average level.', 'no mention of menu variety': 'The review does not describe or mention the variety of the menu.'}","{'wide variety': 1, 'limited variety': -1, 'average variety': 0, 'no mention of menu variety': -0.5}"
Overall Experience,"This concept 'Overall Experience' defines the cumulative experience of the diner at the restaurant, taking into account all the factors like food, service, ambience, pricing and overall impression about the visit. This can be gauged from the overall tone of the review and the general sentiments expressed about the dining experience.",What was the overall dining experience expressed in the review?,"['very positive', 'somewhat positive', 'neutral', 'somewhat negative', 'very negative']","{'very positive': 'The review is overwhelmingly positive about the overall dining experience, praising several aspects and expressing a desire to return or recommend.', 'somewhat positive': 'The review is generally positive about the overall dining experience, with minor criticisms or areas for improvement mentioned.', 'neutral': 'The review is neutral about the overall dining experience, neither praising nor criticizing predominantly, or equally balancing both.', 'somewhat negative': 'The review expresses a generally negative perspective about the overall dining experience, with some positive aspects mentioned.', 'very negative': 'The review is extremely negative about the overall dining experience, expressing major discontent and dissatisfaction, likely accompanied by strong language.'}","{'very positive': 5, 'somewhat positive': 4, 'neutral': 3, 'somewhat negative': 2, 'very negative': 1}"
Special Occasion Recognition,"The concept 'Special Occasion Recognition' corresponds to the instances where the restaurant acknowledges and caters to a special occasion such as birthdays, anniversaries, Mother's Day, Valentine's Day, and so on. This can be determined from the review, whether the restaurant made a special effort to celebrate or acknowledge the special occasion, or if there was lack of recognition, which may impact the customer's experience.","Does the review mention a special occasion? If so, how was it handled by the restaurant?","['Well Recognized', 'Ignored/Not Recognized', 'No Special Occasion Mentioned', 'Uncertain']","{'Well Recognized': 'The review mentions a special occasion that was well acknowledged or celebrated by the restaurant. This could include complimentary treats, special menus, decorations, wishes, or any other form of recognition that made the special occasion more memorable.', 'Ignored/Not Recognized': 'The review mentions a special occasion but also reflects that the restaurant did not make any effort to recognize or celebrate the occasion, leading to a possible diminished dining experience.', 'No Special Occasion Mentioned': 'The review does not mention any special occasion.', 'Uncertain': 'It is unclear from the review whether a special occasion was mentioned or how it was handled by the restaurant.'}","{'Well Recognized': 2, 'Ignored/Not Recognized': -3, 'No Special Occasion Mentioned': 0, 'Uncertain': 0}"
Returning Customer,"The concept 'Returning Customer' refers to the likelihood or intention of the reviewer to revisit the restaurant in the future. This can be deduced from direct statements expressing a desire to return or indirect indications suggesting satisfaction or dissatisfaction with the overall dining experience, which might influence their decision to return.",Does the review suggest that they are likely to visit the restaurant again?,"['likely to return', 'unlikely to return', 'may or may not return', 'uncertain', 'no mention of returning']","{'likely to return': 'The review clearly indicates that the reviewer is satisfied with their dining experience and expresses a desire to return to the restaurant in the future.', 'unlikely to return': 'The review clearly indicates dissatisfaction with the dining experience and expresses a lack of desire to revisit the restaurant.', 'may or may not return': 'The review suggests mixed feelings about the dining experience and indicates a degree of uncertainty about whether they will return.', 'uncertain': 'The review does not provide enough information to adequately assess the likelihood of the customer returning to the restaurant.', 'no mention of returning': 'The review does not mention or imply anything about the possibility of the customer revisiting the restaurant.'}","{'likely to return': 2, 'unlikely to return': -2, 'may or may not return': 0, 'uncertain': 1, 'no mention of returning': 0}"
Quality of Atmosphere,"The concept 'Quality of Atmosphere' refers to the overall feel and mood generated within the restaurant. This might include elements such as decor, lighting, space, cleanliness and even crowd dynamics. Depending upon the reviewers' personal preferences, these factors might significantly contribute towards their overall dining experience at the restaurant.",How does the reviewer assess the restaurant's overall atmosphere?,"['very inviting', 'somewhat inviting', 'not inviting', 'no mention of atmosphere', 'uncertain']","{'very inviting': 'The reviewer describes the atmosphere as enticing, warm, or lively. This might include positive mentions of the decor, cozy lighting, spacious layout, cleanliness, or an exciting crowd.', 'somewhat inviting': 'The reviewer describes the atmosphere as somewhat pleasant, but there may be suggestions for improvement. This can include acceptable but not exceptional decor, adequate lighting or space, and mixed reviews about cleanliness or crowd.', 'not inviting': 'The reviewer describes the atmosphere as uncomfortable or unappealing. This might include criticisms of the decor, poor lighting, lack of space, poor cleanliness, or negative crowd dynamics.', 'no mention of atmosphere': ""The review does not comment or infer anything about the restaurant's atmosphere."", 'uncertain': ""The text provides ambiguous or insufficient detail about the restaurant's atmosphere, making it difficult to determine the reviewer's assessment.""}","{'very inviting': 2, 'somewhat inviting': 1, 'not inviting': -2, 'no mention of atmosphere': -1, 'uncertain': 0}"
Unmet Expectations,"The 'Unmet Expectations' concept identifies instances where the reviewer's expectations from the restaurant did not meet reality. This could include elements such as service, ambiance, pricing, portion size, menu variety, or overall restaurant experience. Detailed expressions of disappointment or dissonance between expectation and reality could suggest a lower restaurant rating.",How well did the restaurant meet the reviewer's expectations?,"['Significantly Below Expectations', 'Slightly Below Expectations', 'Met Expectations', 'No Mention of Expectations']","{'Significantly Below Expectations': 'The reviewer has explicitly expressed substantial disappointment or high degree of dissatisfaction. Examples could include strong criticism of the food quality, complaints about the service, or negative comments on the ambiance.', 'Slightly Below Expectations': ""The reviewer indicates minor dissatisfaction or small discrepancies between their expectations and the actual experience. This might include minor complaints about the dish or small criticisms on the restaurant's service."", 'Met Expectations': 'The reviewer expresses being satisfied with their dining experience, or there is no explicit comparison drawn between their expectations and the actual experience. This could involve a review simply describing the food and service without any comparison to their expectations.', 'No Mention of Expectations': ""The reviewer doesn't discuss their prior expectations or any disparity between their expectations and their experience. This might include a review that describes the restaurant without any personal judgments.""}","{'Significantly Below Expectations': -2, 'Slightly Below Expectations': -1, 'Met Expectations': 1, 'No Mention of Expectations': 0}"
