Concept Name,Concept Description,Concept Question,Possible Responses,Response Guide,Response Mapping
Quality of Service,"This concept 'Quality of Service' corresponds to the level of service provided in the restaurant. This could include the attentiveness of the staff, time taken for service, knowledge of staff, as well as mistakes made in order processing. It will address positive as well as negative service experiences discussed in the review.",What is the nature of the service mentioned in the review?,"['excellent service', 'average service', 'poor service', 'no mention of service']","{'excellent service': 'Service is described as attentive, efficient, timely, errors are quickly corrected or anticipatory service. Staff may be described as knowledgable, proactive, courteous, or achieving beyond expectations.', 'average service': ""Service is described as adequate but not particularly noteworthy. This could include comments such as 'service was okay', 'service was fine' or mention of minor mistakes/errors. There could be a mix of positive and negative comments about the service."", 'poor service': 'Service is described as slow, inattentive, unhelpful or inefficient. Could include mistakes in orders not being corrected, lack of knowledge of staff or issues with service timing. This is typically mentioned with strong negative language.', 'no mention of service': 'The review does not comment on the service.'}","{'excellent service': 2, 'average service': 1, 'poor service': -2, 'no mention of service': 0}"
Food Quality,"Food quality refers to the taste, freshness, preparation, and presentation of food served in the restaurant. This may encompass factors such as overall taste, texture, temperature, balance of flavors, creativity in dish preparation and presentation, freshness of ingredients, and portion size. A review discussing food quality could either appreciate or criticize the food served.",What does the review say about the quality of the food in the restaurant?,"['excellent food', 'average food', 'poor food', 'no mention of food quality']","{'excellent food': 'Review mentions the food being delicious, well presented, creatively prepared, fresh, and having an adequate portion size.', 'average food': 'Review mentions that the food is neither too bad nor too good. It may taste fine but lack in presentation, or vice versa. The review might express a balanced view of good and bad aspects of the food.', 'poor food': 'Review criticizes the food for being tasteless, poorly presented, not fresh, having a small portion size, or being overpriced given the quality.', 'no mention of food quality': 'Review does not mention about the food quality at all.'}","{'excellent food': 2, 'average food': 1, 'poor food': -2, 'no mention of food quality': 0}"
Ambiance of the restaurant,"The concept 'Ambiance of the restaurant' refers to the overall atmosphere or mood of the restaurant as described in the review. It can communicate feelings such as cozy, casual, romantic, rowdy, or elegant. This might be influenced by factors like lighting, noise level, decor, theme, cleanliness, and space.",How does the review describe the ambiance of the restaurant?,"['positive ambiance', 'negative ambiance', 'neutral ambiance', 'no mention of ambiance']","{'positive ambiance': 'The review mentions the ambiance in a positive light. It could be terms like quiet, cozy, romantic, well-lit, well-decorated, spacious, etc.', 'negative ambiance': 'The review mentions the ambiance in a negative light. It could be terms like noisy, crowded, poorly lit, not clean, etc.', 'neutral ambiance': 'The review mentions the ambiance but neither in a positive or negative light. It could be terms like casual, family-friendly, ordinary, etc.', 'no mention of ambiance': 'The review does not mention the ambiance of the restaurant at all.'}","{'positive ambiance': 2, 'negative ambiance': -2, 'neutral ambiance': 0, 'no mention of ambiance': 0}"
Timeliness of Service,"The concept 'Timeliness of Service' refers to the speed or promptness of the service provided in the restaurant. It could include the waiting time to be seated, the time it takes for the menu to be presented, the time taken to order, how long it takes for the food to arrive, and the time taken to get the bill. Time delays or quick service can significantly impact the dining experience.",How timely was the service in the restaurant according to the review?,"['very timely', 'somewhat timely', 'not timely', 'uncertain', 'no mention of timeliness']","{'very timely': 'Review indicates that the service was quick, efficient, and responses were prompt. Minimal to no wait times were mentioned.', 'somewhat timely': 'Review indicates a moderate level of promptness in the service. There may have been slight delays or waits, but they did not significantly impact the overall dining experience.', 'not timely': 'Review mentions significant delays, slow service, or long waits.', 'uncertain': 'The review may be ambiguous, unclear, or lack sufficient information to determine the timeliness of the service.', 'no mention of timeliness': 'The review does not comment on the speed or promptness of the service.'}","{'very timely': 2, 'somewhat timely': 1, 'not timely': -1, 'uncertain': 0, 'no mention of timeliness': 0}"
Restaurant Layout,"This concept refers to the physical arrangement, spacing and overall structure of the seating in the restaurant. The layout can significantly affect customer dining experience, counting factors like table spacing, table size and arrangement, aisle space, and overall comfort/convenience. Depending on effectiveness, it may enhance or impede the dining experience.",What does the review say about the physical layout of the restaurant?,"['comfortable layout', 'cramped layout', 'average layout', 'no mention of layout', 'uncertain']","{'comfortable layout': 'The text mentions that the restaurant is spacious, tables are adequately spaced, the seating arrangements are comfortable, the layout contributes positively to the dining experience.', 'cramped layout': 'The text mentions that the restaurant is cramped, tables are too close together, movement is restricted or that the layout interfered negatively with the dining experience.', 'average layout': 'The text mentions that the layout is neither particularly comfortable nor cramped, it’s average/not extreme.', 'no mention of layout': 'The review does not mention or make reference to the physical layout of the restaurant.', 'uncertain': 'The review might mention the layout, but the information is ambiguous, vague, or lacks sufficient context to determine if the layout is comfortable or cramped.'}","{'comfortable layout': 2, 'cramped layout': -2, 'average layout': 1, 'no mention of layout': 0, 'uncertain': 0}"
Price Fairness,"The concept 'Price Fairness' refers to the level of satisfaction or dissatisfaction expressed by the reviewer regarding the pricing of the food and services at the restaurant. This could include the cost of food items, servings size compared to the price or general experiences with perceived value for money.",What does the review say about the pricing of the restaurant?,"['overpriced', 'reasonably priced', 'cheap', 'no mention of price', 'uncertain']","{'overpriced': 'Review suggests that the reviewer found the prices at the restaurant to be expensive or not commensurate with the food quality or the service received.', 'reasonably priced': 'Review suggests that the reviewer found the prices at the restaurant to be fair and good value for money.', 'cheap': 'Review mentions that the food and services were provided at a relatively low cost.', 'no mention of price': 'The review does not mention anything about the price or cost of dining at the restaurant.', 'uncertain': 'The review mentions price but it is not clear if the reviewer is satisfied or not with the value. It may suggest ambiguity or conflicting viewpoints.'}","{'overpriced': -2, 'reasonably priced': 1, 'cheap': 2, 'no mention of price': 0, 'uncertain': -1}"
Noise Level,"The concept 'Noise Level' refers to the perceived loudness or quietness of the restaurant as mentioned in the review. Noise can come from various sources such as other diners, the restaurant's music, street noise, among others. It can significantly affect a diner's overall experience, with some preferring a lively, bustling atmosphere, and others preferring a quieter, more tranquil dining environment.",What does the review say about the noise level in the restaurant?,"['too loud', 'too quiet', 'just right', 'uncertain', 'no mention of noise level']","{'too loud': 'The review mentions that the noise level in the restaurant was too high, possibly causing inconvenience or disturbance.', 'too quiet': 'The review mentions that the restaurant was too quiet or lacked atmosphere which might not be appealing to some diners.', 'just right': 'The review mentions that the noise level was just right and contributed to a positive dining experience.', 'uncertain': ""The review mentions noise but it's unclear if it's being portrayed in a negative or positive light, or without sufficient context to determine."", 'no mention of noise level': 'The review does not mention anything about the noise level in the restaurant.'}","{'too loud': -2, 'too quiet': -1, 'just right': 2, 'uncertain': 0, 'no mention of noise level': 0}"
Menu Variety,"The concept 'Menu Variety' refers to the range of food and drink choices available in the restaurant as mentioned in the review. It might be related to a diverse array of dishes, dietary choices, portion sizes, or options for different meals. Limited choices or a wide variety can significantly impact a diner's overall experience.",How does the reviewer describe the variety in the restaurant's menu?,"['wide variety', 'limited variety', 'average variety', 'no mention of menu variety']","{'wide variety': 'The review mentions a large selection of dishes or options on the menu, offering choices to cater to various preferences, dietary restrictions, or meal types.', 'limited variety': 'The review expresses dissatisfaction with the range of choices available, indicating a lack of diversity in the menu items, or missing options for specific dietary needs or meal types.', 'average variety': 'The review does not particularly praise or criticize the range of choices, indicating that the variety is of standard or average level.', 'no mention of menu variety': 'The review does not describe or mention the variety of the menu.'}","{'wide variety': 1, 'limited variety': -1, 'average variety': 0, 'no mention of menu variety': 0}"
Overall Experience,"This concept 'Overall Experience' defines the cumulative experience of the diner at the restaurant, taking into account all the factors like food, service, ambience, pricing and overall impression about the visit. This can be gauged from the overall tone of the review and the general sentiments expressed about the dining experience.",What was the overall dining experience expressed in the review?,"['very positive', 'somewhat positive', 'neutral', 'somewhat negative', 'very negative']","{'very positive': 'The review is overwhelmingly positive about the overall dining experience, praising several aspects and expressing a desire to return or recommend.', 'somewhat positive': 'The review is generally positive about the overall dining experience, with minor criticisms or areas for improvement mentioned.', 'neutral': 'The review is neutral about the overall dining experience, neither praising nor criticizing predominantly, or equally balancing both.', 'somewhat negative': 'The review expresses a generally negative perspective about the overall dining experience, with some positive aspects mentioned.', 'very negative': 'The review is extremely negative about the overall dining experience, expressing major discontent and dissatisfaction, likely accompanied by strong language.'}","{'very positive': 2, 'somewhat positive': 1, 'neutral': 0, 'somewhat negative': -1, 'very negative': -2}"
Food Portion Size,"'Food Portion Size' refers to the amount of food served per dish as mentioned in the review. It might relate to the reviewer's perception of whether the amount of food served was sufficient, less or more than expected. The perceived value of the portion size can highly impact a diner's overall experience and their perceived value for money.",What does the review say about the portion size of the food?,"['sufficient portion', 'small portion', 'large portion', 'uncertain', 'no mention of portion size']","{'sufficient portion': 'The review mentions that the portion size was satisfying or adequate for the price paid, indicating perceived good value for money.', 'small portion': 'The review mentions that the portion size was smaller than expected or not satisfying, which might indicate dissatisfaction or perceived low value for money.', 'large portion': 'Review mentions that the portion size was larger than expected or extremely satisfying, indicating a sense of good value for money or even overwhelm.', 'uncertain': ""It is difficult to discern the reviewer's sentiment about the food portion size from the review as it could be either vague, ambiguous or lack the necessary context."", 'no mention of portion size': 'The review does not mention the portion size of the food at all.'}","{'sufficient portion': 1, 'small portion': -1, 'large portion': 2, 'uncertain': 0, 'no mention of portion size': 0}"
