,Quality of Service,Food Quality,Timeliness of Service,Noise Level,Menu Variety,Overall Experience,Special Occasion Recognition,Returning Customer,Quality of Atmosphere,Unmet Expectations,Expectation Fulfilment,Food Consistency,Change in Quality Over Time,Quality of Decor,Pricing Perception,Complaint Resolution,Food Temperature,Appropriateness of Pricing
Quality of Service,1.0,0.21264162201658612,0.560515690757883,-0.07055181741884524,0.17610243870522618,0.5343135331306468,0.08916823386781009,0.3676809587753468,0.08032185145060954,0.40453807520026713,0.43137421790618746,0.0007591975025460132,0.07977039374753322,-0.0060956110853354235,0.02679261366778127,0.5687754035576926,-0.017550932687847996,0.02646244866433045
Food Quality,0.21264162201658612,1.0,0.06013253020434193,-0.06594968543715819,0.20883117541498855,0.6200815633591095,0.16259144363117298,0.5681188381714225,0.031913716138669806,0.5738052299425804,0.5524764465243741,0.2406076215879611,0.23136413253738447,-0.02197676321046192,0.24324972672078118,0.4774942864340871,0.15097586307066935,0.24935942479907058
Timeliness of Service,0.560515690757883,0.06013253020434193,1.0,-0.00026947328215197274,0.17359906809916492,0.3199276054414773,-0.008501589299136266,0.12447365144914897,0.12681301180332194,0.25551226428142343,0.20444667695776392,-0.051655814092015834,-0.019492503377244216,0.0757037656359011,-0.002305854326050607,0.4109109990096608,-0.06514663069512105,0.0008016413529697671
Noise Level,-0.07055181741884524,-0.06594968543715819,-0.00026947328215197274,1.0,-0.04507282932014565,0.10793048239892429,-0.030611907745373472,0.0654804998899495,0.3650755909545532,0.2078926225552071,-0.004141941500258221,0.04690272796467803,0.03388347396854628,0.05171011709821251,0.06864086690295973,-0.0026443907516948435,-0.004436768584910976,0.015328268888176028
Menu Variety,0.17610243870522618,0.20883117541498855,0.17359906809916492,-0.04507282932014565,1.0,0.19684974330292884,0.2948690517520918,0.08859489056733726,0.16149975876869335,0.14305753086282152,0.24660134778213333,-0.013350907355731795,0.027747819453917306,0.0007034284984407215,0.0964208563138569,0.15459561859484128,0.04671455066033626,0.0831406643162047
Overall Experience,0.5343135331306468,0.6200815633591095,0.3199276054414773,0.10793048239892429,0.19684974330292884,1.0,0.20387086543344451,0.829436593633242,0.24741948214756188,0.8785137980318973,0.7491788220170882,0.2129878789400527,0.1714538775634641,0.18437008670775024,0.2718100196812429,0.6165121308796848,0.11649642719239772,0.26779098650973027
Special Occasion Recognition,0.08916823386781009,0.16259144363117298,-0.008501589299136266,-0.030611907745373472,0.2948690517520918,0.20387086543344451,1.0,0.14542135313529225,0.06603333531380824,0.20588127708623138,0.22319929379551817,-0.003956497627504595,-2.628875863351005e-18,0.042520617517235376,0.048549752630395834,0.21314883117116667,-0.0011109145142713707,0.049009492330810506
Returning Customer,0.3676809587753468,0.5681188381714225,0.12447365144914897,0.0654804998899495,0.08859489056733726,0.829436593633242,0.14542135313529225,1.0,0.21555962425950456,0.7558805050215327,0.6858211817310866,0.25610255052958625,0.2026427893082505,0.17541488087330662,0.292335495773385,0.4768068730601774,0.12327268088858814,0.27585785663664075
Quality of Atmosphere,0.08032185145060954,0.031913716138669806,0.12681301180332194,0.3650755909545532,0.16149975876869335,0.24741948214756188,0.06603333531380824,0.21555962425950456,1.0,0.23285783682043426,0.17555601186249223,-0.0005041764724788255,0.022703496931020944,0.5208449270555969,0.028367673897140507,0.1401003245033908,-0.008989303261099809,0.009520359112206197
Unmet Expectations,0.40453807520026713,0.5738052299425804,0.25551226428142343,0.2078926225552071,0.14305753086282152,0.8785137980318973,0.20588127708623138,0.7558805050215327,0.23285783682043426,1.0,0.6797524366429484,0.24405817621055267,0.20867369635040547,0.2593294282219626,0.2518206041562609,0.5879174121877397,0.1498490719532603,0.23363367001092455
Expectation Fulfilment,0.43137421790618746,0.5524764465243741,0.20444667695776392,-0.004141941500258221,0.24660134778213333,0.7491788220170882,0.22319929379551817,0.6858211817310866,0.17555601186249223,0.6797524366429484,1.0,0.1950474410761609,0.28341457918044094,0.12181276013067775,0.2878477691167886,0.48341679686298167,0.09684167604682424,0.28884482849771737
Food Consistency,0.0007591975025460132,0.2406076215879611,-0.051655814092015834,0.04690272796467803,-0.013350907355731795,0.2129878789400527,-0.003956497627504595,0.25610255052958625,-0.0005041764724788255,0.24405817621055267,0.1950474410761609,1.0,0.46264575637350275,0.02373281223649361,-0.01448693208607267,0.17156522406371627,0.16765486403064733,-0.012950875685662083
