Concept Name,Concept Description,Concept Question,Possible Responses,Response Guide,Response Mapping
Quality of Service,"This concept refers to the level of service provided by the restaurant staff. This includes attentiveness, friendliness, efficiency, and the overall customer service experience. High-quality service can greatly enhance the dining experience, while poor service could negatively impact it.",How does the review describe the quality of service provided at the restaurant?,"['excellent', 'good', 'poor', 'very poor', 'not mentioned']","{'excellent': 'The review mentions outstanding service, with the staff exceeding expectations in terms of attentiveness, friendliness, and efficiency.', 'good': 'The review indicates that the service was satisfactory, with the staff being generally attentive, friendly, and efficient, but not particularly exceptional.', 'poor': 'The review suggests that the service was below average, due to factors such as lack of attentiveness, friendliness, or efficiency from the staff.', 'very poor': 'The review conveys that the service was very poor, with issues such as careless, rude or inattentive staff, slow service, or significant customer service problems.', 'not mentioned': 'The review does not comment on the quality of service at the restaurant.'}","{'excellent': 2, 'good': 1, 'poor': -1, 'very poor': -2, 'not mentioned': 0}"
Food Quality,"This concept refers to the overall quality, taste, and presentation of the food served at the restaurant. Factors contributing to this include the freshness of ingredients, the creativity and uniqueness of dishes, portion sizes, flavor balance, and how it is plated and served. High-quality food can significantly enhance the dining experience, while poor-quality food can result in dissatisfaction.",What does the review convey about the quality of food served at the restaurant?,"['excellent', 'good', 'mediocre', 'poor', 'very poor', 'not mentioned']","{'excellent': 'Review expresses high praise for food quality, with specific accolades for taste, presentation, creativity and freshness of ingredients, and significantly enhances the dining experience.', 'good': 'Review indicates that food quality was good but not exceptional. The food is satisfying, but does not necessarily have standout qualities.', 'mediocre': 'Review suggests that the food was average, potentially lackluster or absent key aspects that would make it truly enjoyable.', 'poor': 'Review reveals dissatisfaction with food quality, including criticisms about flavor, freshness, and presentation that detracted from the dining experience.', 'very poor': 'Review describes the food as deeply disappointing, with major issues related to taste, presentation, freshness of ingredients, etc., that significantly degraded the dining experience. Strong negative language is used to describe food quality.', 'not mentioned': ""The review does not comment on the quality of food, it's either completely absent or the mentions are too vague to judge.""}","{'excellent': 3, 'good': 2, 'mediocre': 1, 'poor': -1, 'very poor': -2, 'not mentioned': 0}"
Restaurant Ambience,"This concept refers to the overall atmosphere and feel of the restaurant, including factors such as noise level, music, lighting, cleanliness, interior design and decor, table arrangement, etc. A pleasant and comfortable ambience enhances the dining experience, while an unpleasant or uncomfortable setting can detract from it.",How would the reviewer rate the ambience of the restaurant?,"['excellent', 'good', 'poor', 'very poor', 'not mentioned']","{'excellent': 'Review mentions the ambience favorably (e.g., quiet, nice interior design, pleasant music, clean, comfortable seating, etc.)', 'good': 'The review states the ambience was generally good but may mention minor issues.', 'poor': 'Review criticizes elements of the ambience, such as being too noisy, poor lighting, lack of cleanliness, uncomfortable seating, etc.', 'very poor': 'Review strongly criticizes the ambience, indicating a major impact on the dining experience.', 'not mentioned': 'The review does not mention the restaurant ambience at all.'}","{'excellent': 5, 'good': 4, 'poor': 2, 'very poor': 1, 'not mentioned': 3}"
Quality of Dining Experience,"This concept refers to the overall impression left by the entire dining event, considering all elements such as quality of food, service, ambience, value for money, and personal expectations. A quality dining experience leaves the guest satisfied, content, and looking forward to their next visit.",What is the overall quality of the dining experience as described in the review?,"['excellent', 'good', 'average', 'poor', 'very poor', 'not mentioned']","{'excellent': 'The review describes a superb, high-quality dining experience where all expectations were met or exceeded, with no mentioned negatives.', 'good': ""The review describes a good dining experience where most expectations were met. There may be minor negatives mentioned, but they don't significantly detract from the overall positive experience."", 'average': 'The review provides a fair or average dining experience. There may be a balance of positive and negative aspects mentioned, none of which are excessively damaging to the overall impression.', 'poor': 'The review describes a below-par dining experience. There are notable negatives which somewhat overshadow the positive aspects, leading to a general sense of dissatisfaction.', 'very poor': 'The review describes a highly unsatisfactory dining experience. The negatives are severe and significantly outnumber any positives, greatly damaging the overall dining experience.', 'not mentioned': 'The review does not mention or provide sufficient information about the overall dining experience.'}","{'excellent': 5, 'good': 4, 'average': 3, 'poor': 2, 'very poor': 1, 'not mentioned': 0}"
Value for Money,"The concept 'Value for Money' refers to the perceived value customers get from the food, service, ambiance, or overall dining experience relative to the amount they paid. This considers the pricing of the menu, the quantity and quality of the food, level of service, and restaurant environment. A high value for money means customers feel they received an experience or products that were worth or exceeded what they paid for, while a low value for money suggests dissatisfaction with the experience or products in relation to the price paid.",What does the review suggest about the value for money at the restaurant?,"['excellent', 'good', 'average', 'poor', 'very poor', 'not mentioned']","{'excellent': ""The review suggests that the customer received a dining experience or products that significantly exceeded the price they paid. Phrases like 'worth every penny', 'a steal', 'a bargain', 'unbelieveble value' might indicate this."", 'good': ""The review suggests that the customer received a dining experience or products that was worth the price they paid. Phrases like 'fair price', 'reasonably priced', 'good value for the amount paid' might indicate this."", 'average': ""The review suggests that the customer feels the dining experience or products were fairly priced or average in terms of value for money. Phrases like 'not cheap, but not expensive', 'you get what you pay for', 'average value', 'standard pricing' might indicate this."", 'poor': ""The review suggests that the customer feels the dining experience or products were not worth the price they paid. Phrases like 'not worth the price', 'overpriced', 'could be cheaper', 'expensive for what you get' might indicate this."", 'very poor': ""The review suggests that the customer strongly feels that the dining experience or products were significantly overpriced. Phrases like 'not at all worth the money', 'extortionate', 'rip off', 'grossly overpriced' might indicate this."", 'not mentioned': 'The review does not directly mention or suggest anything about the value for money.'}","{'excellent': 2, 'good': 1, 'average': 0, 'poor': -1, 'very poor': -2, 'not mentioned': 0}"
Menu Variety,"Menu Variety refers to the range of choices offered in the restaurant's menu. This may include the availability of different cuisines, dishes, dietary options (vegan, gluten-free, etc.), drinks and desserts. A diverse menu can cater to various customer preferences and dietary needs, enhancing the overall dining experience.",What does the review say about the variety of choices in the restaurant's menu?,"['excellent', 'good', 'average', 'poor', 'not mentioned']","{'excellent': 'Review notably appreciates and mentions the wide range and variety of food and drink options available on the menu.', 'good': 'Review mentions variety in the menu but does not extensively highlight or appreciate it.', 'average': 'Review suggests that the menu variety is neither particularly impressive nor lacking, or rather, it meets general expectations without standing out.', 'poor': ""Review mentions a clear lack of variety or limited choices in the restaurant's menu. It may include lack of dietary options or similar repetitive dishes."", 'not mentioned': ""The review does not mention anything about the restaurant's menu variety.""}","{'excellent': 1, 'good': 0.75, 'average': 0.5, 'poor': -1, 'not mentioned': 0}"
Problem with Payment or Billing,"This concept refers to any problems, errors, or issues related to the payment or billing process in a restaurant. This includes being overcharged, errors in the bill, refusal to accept certain types of payment (for example, gift cards), being charged for items not ordered or consumed, and so on. Such issues can significantly undermine a customer's dining experience and influence their overall rating.",Does the reviewer mention any issues with the payment or billing process?,"['Yes, Negative experience', 'Yes, Neutral experience', 'Yes, Positive Experience', 'No', 'Uncertain']","{'Yes, Negative experience': 'The reviewer mentions a problem or issue with the payment or billing process and expresses dissatisfaction or frustration. For example, they were overcharged, or their gift card was not accepted when it should have been, and they voice negative sentiment about this.', 'Yes, Neutral experience': 'The reviewer mentions a problem or issue with the payment or billing process, but does not particularly express a strong positive or negative sentiment about it. For example, they point out a minor mistake in the bill that was quickly corrected.', 'Yes, Positive Experience': 'The reviewer mentions a problem or issue with the payment or billing process, but also notes that it was subsequently handled well/resolved or did not significantly impact their overall dining experience. For example, they were initially charged wrong but commend the swift and courteous correction.', 'No': 'The reviewer does not mention any issues or experiences related to the payment or billing process.', 'Uncertain': 'It is not clear or not enough information is provided to determine whether the reviewer experienced any issues with the payment or billing process.'}","{'Yes, Negative experience': -2, 'Yes, Neutral experience': 0, 'Yes, Positive Experience': 2, 'No': 1, 'Uncertain': 0}"
Customer dissatisfaction,"Customer dissatisfaction refers to instances where the customer had expectations that were not met, leaving them dissatisfied with their dining experience. This could include complaints about food quality, service, cleanliness, ambiance, wait times, price, or any other aspect that fell short of their expectations.",To what extent does the review express dissatisfaction about the dining experience?,"['extreme dissatisfaction', 'major dissatisfaction', 'minor dissatisfaction', 'no dissatisfaction', 'uncertain']","{'extreme dissatisfaction': 'The review expresses extreme dissatisfaction about multiple aspects of the dining experience.', 'major dissatisfaction': 'The review expresses significant dissatisfaction about one or more aspects but not to an extreme degree.', 'minor dissatisfaction': 'The review expresses slight dissatisfaction but not to a significant degree.', 'no dissatisfaction': 'The review does not express any dissatisfaction about the dining experience.', 'uncertain': 'It is unclear whether the reviewer is dissatisfied, or the review does not provide enough information to determine this.'}","{'uncertain': 0, 'minor dissatisfaction': 1, 'major dissatisfaction': 2, 'extreme dissatisfaction': 3, 'no dissatisfaction': -1}"
Restaurant Location,"This concept refers to the customers' impression or comments about the restaurant's location. This could consider aspects such as the convenience of the location, the attractiveness of the surrounding area, ease of parking or transportation access, and any related factors. The location can significantly contribute to a customer's dining experience",What is the sentiment conveyed about the restaurant's location in the review?,"['positive', 'negative', 'neutral', 'not mentioned', 'uncertain']","{'positive': ""The customer expresses a positive sentiment about the restaurant's location. They may mention convenience, attractiveness, good parking or transport access, a scenic view, or other beneficial features."", 'negative': ""The customer expresses a negative sentiment about the restaurant's location. This could be due to a difficult-to-reach or inconvenient location, poor parking or transport access, an unattractive surrounding area, or other problematic features."", 'neutral': ""The customer mentions the restaurant's location, but does not express a clearly positive or negative sentiment. The comment may be a simple statement of fact, such as 'it's in downtown', without further elaboration."", 'not mentioned': ""The customer does not mention the restaurant's location at all."", 'uncertain': ""The customer's sentiment about the restaurant's location is unclear, ambiguous, or mixed. They may mention both positive and negative aspects, or their comment may be vague or hard to interpret.""}","{'positive': 2, 'negative': -2, 'neutral': 0, 'not mentioned': -1, 'uncertain': 1}"
Timeliness of Service,"This concept refers to how prompt and timely the services in the restaurant are. It includes, but is not limited to, the time taken from placing the order to the delivery of the food, the response times of the waitstaff, and the handling of any issues or requests.",What does the review say about the promptness of the service in the restaurant?,"['very quick', 'on-time', 'normal', 'slow', 'very slow', 'not mentioned']","{'very quick': 'The service was exceptionally quick, and wait times were minimal.', 'on-time': 'The service was on time and met general expectations for restaurant service.', 'normal': 'The service was normal, nothing extraordinary in terms of speed.', 'slow': 'The service was slower than expected, causing minor inconvenience or delays.', 'very slow': 'The service was very slow, causing major inconvenience or extended waits.', 'not mentioned': 'The review does not mention the timing or speed of service.'}","{'very quick': 2, 'on-time': 1, 'normal': 0, 'slow': -1, 'very slow': -2, 'not mentioned': 0}"
