Concept Name,Concept Description,Concept Question,Possible Responses,Response Guide,Response Mapping
Quality of Service,"The concept 'Quality of Service' refers to the level of service provided by the restaurant's staff. This includes attentiveness, friendliness, efficiency, and overall customer experience delivered. Excellent service could enhance the dining experience, while poor service could negatively impact it.",How does the review describe the service provided at the restaurant?,"['excellent', 'good', 'poor', 'very poor', 'not mentioned']","{'excellent': 'Review mentions exceptional service provided by the staff. This includes being highly attentive, friendly, efficient, and exceeding expectations.', 'good': 'Review mentions that the service was good – the staff were generally attentive, friendly, and efficient, but nothing out of the ordinary.', 'poor': 'Review mentions that the service was less than desirable - the staff was not very attentive or efficient, staff might have been somewhat friendly but did not meet expectations.', 'very poor': 'Review indicates that the service was very poor, indicating the staff were not attentive, may have been rude, ignored customers, or were inefficient.', 'not mentioned': 'The review does not mention the quality of service.'}","{'excellent': 2, 'good': 1, 'poor': -1, 'very poor': -2, 'not mentioned': 0}"
Food Quality,"This concept refers to the overall quality, taste, and presentation of the food served at the restaurant. Factors that contribute to this include the freshness of ingredients, creativity and uniqueness of dishes, portion sizes, flavor balance, and how it is plated and served. High-quality food can significantly enhance the dining experience, while poor-quality food can lead to dissatisfaction.",What does the review say about the quality of food served at the restaurant?,"['excellent', 'good', 'mediocre', 'poor', 'very poor', 'not mentioned']","{'excellent': 'Review highlights the high quality of food with accolades given to factors like taste, presentation, creativity, and freshness of ingredients.', 'good': 'Review indicates good food quality but may not necessarily be extraordinary or noteworthy.', 'mediocre': 'Review shows the food was average, lacking in some aspects but not necessarily bad.', 'poor': 'Review mentions the food quality was underwhelming, with specific criticisms about factors like taste, freshness, and presentation.', 'very poor': 'Review describes the food as bad or horrible, with strong negative commentary about multiple factors.', 'not mentioned': 'The review does not mention the quality of food.'}","{'excellent': 2, 'good': 1, 'mediocre': 0, 'poor': -1, 'very poor': -2, 'not mentioned': 0}"
Restaurant Ambience,"This concept refers to the overall atmosphere and feel of the restaurant including factors such as noise level, music, lighting, cleanliness, interior design and decor, table arrangement, etc. A pleasant and comfortable ambience enhances the dining experience, while an unpleasant or uncomfortable setting can detract from it.",How is the ambience of the restaurant described in the review?,"['excellent', 'good', 'poor', 'very poor', 'not mentioned']","{'excellent': 'Review mentions the ambience favorably, e.g. quiet, nice interior design, pleasant music, clean, comfortable seating etc.', 'good': 'The review states the ambience was generally good but may mention minor issues.', 'poor': 'Review criticizes elements of the ambience such as being too noisy, poor lighting, lack of cleanliness, uncomfortable seating, etc.', 'very poor': 'Review strongly criticizes the ambience, indicating a major impact on the dining experience.', 'not mentioned': 'The review does not mention the restaurant ambience at all.'}","{'excellent': 2, 'good': 1, 'poor': -1, 'very poor': -2, 'not mentioned': 0}"
Quality of Dining Experience,"This concept refers to the overall impression left by the entire dining event, considering all elements such as quality of food, service, ambience, value for money, and personal expectations. A quality dining experience leaves the guest satisfied, content, and looking forward to their next visit.",What is the overall quality of the dining experience as described in the review?,"['excellent', 'good', 'average', 'poor', 'very poor', 'not mentioned']","{'excellent': 'The review describes a superb, high-quality dining experience where all expectations were met or exceeded, with no mentioned negatives.', 'good': ""The review describes a good dining experience where most expectations were met. There may be minor negatives mentioned, but they don't significantly detract from the overall positive experience."", 'average': 'The review provides a fair or average dining experience. There may be a balance of positive and negative aspects mentioned, none of which are excessively damaging to the overall impression.', 'poor': 'The review describes a poor dining experience where more negatives are mentioned than positives, leading to general dissatisfaction.', 'very poor': 'The review describes a very poor, unsatisfactory dining experience. Most, if not all, aspects of the dining experience were disappointing and significantly below expectations.', 'not mentioned': 'The review does not mention or provide sufficient information about the overall dining experience.'}","{'excellent': 3, 'good': 2, 'average': 1, 'poor': -1, 'very poor': -2, 'not mentioned': 0}"
Authenticity of Cuisine,"This concept refers to how the customers perceive the authenticity of the cuisine served at the restaurant. Authenticity can be related to the flavors, presentation, ingredients and cooking method of the dishes that match with the traditional food practices of a certain region or country the cuisine comes from.",How does the reviewer comment on the authenticity of the cuisine in the restaurant?,"['authentic', 'not authentic', 'uncertain', 'not mentioned']","{'authentic': 'The review mentions the food as authentic, suggesting that it closely adheres to traditional cooking and flavor profiles associated with the cuisine.', 'not authentic': 'The review mentions the food as not being true to its traditional roots, indicating that the dishes deviated from the expected authentic taste or presentation.', 'uncertain': 'The review contains ambiguities or the comments regarding authenticity are unclear.', 'not mentioned': 'The review does not make any comments on the authenticity of the cuisine.'}","{'authentic': 2, 'not authentic': -2, 'uncertain': 0, 'not mentioned': 0}"
Wait Time,"Wait time refers to the amount of time customers wait to be served at a restaurant, starting from when they arrive at the restaurant to when they receive their food or drinks. This takes into account the time taken to receive a table, place the order, and receive the ordered items. High wait time can negatively impact the dining experience while a low wait time can enhance it.",How does the review describe the waiting time in the restaurant?,"['short', 'acceptable', 'long', 'very long', 'not mentioned']","{'short': 'The review mentions that the customers were served quickly, with minimal wait times.', 'acceptable': 'The review states that the wait times were reasonable or expected for a dining experience.', 'long': 'The review mentions that the wait times were longer than desired but still within acceptable range.', 'very long': 'The review mentions that the wait times were excessively long, leading to frustration or a negative experience.', 'not mentioned': 'The review does not mention anything about the wait times.'}","{'short': -2, 'acceptable': -1, 'long': 1, 'very long': 2, 'not mentioned': 0}"
Value for Money,"The concept 'Value for Money' refers to the perceived value customers get from the food, service, ambiance, or overall dining experience relative to the amount they paid. This considers the pricing of the menu, the quantity and quality of the food, level of service, and restaurant environment. A high value for money means customers feel they received an experience or products that were worth or exceeded what they paid for, while a low value for money suggests dissatisfaction with the experience or products in relation to the price paid.",What does the review suggest about the value for money at the restaurant?,"['excellent', 'good', 'average', 'poor', 'very poor', 'not mentioned']","{'excellent': 'The review suggests that the customer received a dining experience or products that significantly exceeded the price they paid. They highly recommend the restaurant for its value.', 'good': 'The review suggests that the customer received a dining experience or products that was worth the price they paid. They feel they received good value.', 'average': 'The review suggests that the customer feels the dining experience or products were fairly priced or average in terms of value for money.', 'poor': 'The review suggests that the customer feels the dining experience or products were not worth the price they paid. They think it’s overpriced.', 'very poor': 'The review suggests that the customer strongly feels that the dining experience or products were significantly overpriced. They feel they did not receive the value they paid for.', 'not mentioned': 'The review does not directly mention or suggest anything about the value for money.'}","{'excellent': 2, 'good': 1, 'average': 0, 'poor': -1, 'very poor': -2, 'not mentioned': 0}"
Menu Variety,"Menu Variety refers to the range of choices offered in the restaurant's menu. This may include the availability of different cuisines, dishes, dietary options (vegan, gluten-free, etc.), drinks and desserts. A diverse menu can cater to various customer preferences and dietary needs, enhancing the overall dining experience.",What does the review say about the variety of choices in the restaurant's menu?,"['excellent', 'good', 'average', 'poor', 'not mentioned']","{'excellent': 'Review notably appreciates and mentions the wide range and variety of food and drink options available on the menu.', 'good': 'Review mentions variety in the menu but does not extensively highlight or appreciate it.', 'average': 'Review mentions the menu but does not comment specifically on its variety or lack of it.', 'poor': ""Review mentions a clear lack of variety or limited choices in the restaurant's menu. It may include lack of dietary options or similar repetitive dishes."", 'not mentioned': ""The review does not mention anything about the restaurant's menu variety.""}","{'excellent': 1, 'good': 0.5, 'average': 0, 'poor': -1, 'not mentioned': 0}"
Staff Professionalism,"'Staff Professionalism' refers to the manner in which the staff of the restaurant conducts themselves. This includes their attitude, courtesy, respectfulness, and level of professionalism in dealing with customers. High professionalism can significantly improve the dining experience, while unprofessional behavior can greatly detract from it.",What is the level of professionalism exhibited by the staff in the review?,"['highly professional', 'professional', 'unprofessional', 'highly unprofessional', 'not mentioned']","{'highly professional': 'Review mentions that staff behaviour was exceptionally courteous, respectful, and experienced. They went above and beyond in their duty.', 'professional': 'Review mentions that staff behaviour was respectful and courteous. They performed their duties well.', 'unprofessional': 'Review mentions that staff behaviour was not up to the mark, there might have been some minor issues or misconducts.', 'highly unprofessional': 'Review mentions that staff behaviour was extremely poor. Instances of major misconducts, rudeness, or disrespectful attitudes.', 'not mentioned': ""The review does not mention anything about the staff's professionalism.""}","{'highly professional': 2, 'professional': 1, 'unprofessional': -1, 'highly unprofessional': -2, 'not mentioned': 0}"
Response to Special Requests,"This concept refers to how a restaurant handles special requests or accommodations made by customers. These could include dietary requirements, seating preferences, handling gift cards, or other personalized requirements. How well a restaurant responds to these requests can impact the overall dining experience.",How does the text describe the restaurant's response to special requests or accommodations?,"['excellent', 'good', 'poor', 'did not honour request', 'not mentioned']","{'excellent': 'The review specifically mentions the restaurant excellently accommodating special requests or making satisfactory adjustments based on a personalized requirement.', 'good': 'The review mentions that the restaurant was able to accommodate special requests or make adjustments, but may not offer further information or detail regarding their effectiveness or the satisfaction derived from it.', 'poor': 'The review mentions the restaurant made an attempt to accommodate special requests but it was unsatisfactory or met with negative feedback.', 'did not honour request': 'The review specifically mentions the restaurant outright denying or not honouring a special request or accommodation.', 'not mentioned': ""The review does not mention any special requests or accommodations or the restaurant's response to them.""}","{'excellent': 2, 'good': 1, 'poor': -1, 'did not honour request': -2, 'not mentioned': 0}"
