,Quality of Service,Food Quality,Restaurant Ambience,Quality of Dining Experience,Value for Money,Menu Variety,Problem with Payment or Billing,Customer dissatisfaction,Restaurant Location,Timeliness of Service,Waitstaff's Attitude,Food Authenticity,Customer Return Intention,Billing Transparency,Food Presentation,Quality of Waiting Area,Food Pricing,Food Portion Size
Quality of Service,1.0,0.22966890406532728,0.13250452643875346,0.4707654660425583,0.17597902584782152,0.05290276469007096,0.09740985138632273,-0.4924022784423752,0.04454198964098647,0.42400135664045857,0.9260547919327281,0.09062493545921828,0.46945652314316905,0.08743567996663892,0.0836910736056525,0.010250240356334976,0.01840932999282079,0.07017136449924861
Food Quality,0.22966890406532728,1.0,0.07322870193941514,0.5918413423334332,0.4129762553779901,0.143878873191511,0.0634215662459935,-0.4639746710962089,-0.03721463913406817,0.06492654346370028,0.15229066954449558,0.36992903005955335,0.6383220826888245,0.07593973973892529,0.1636461464716706,0.03475428607029863,0.20670674201756248,0.16889097063931235
Restaurant Ambience,0.13250452643875346,0.07322870193941514,1.0,0.16964864339210228,0.00894244424413592,0.040577464390376045,-0.01624373449687296,-0.2541240898269484,0.1615331736600182,0.04226842694430747,0.1250618882227023,0.031347230370692626,0.20062609188635244,0.07211379765879276,0.11109342404758264,0.29371868430911513,0.05375894110059816,0.017145905325925952
Quality of Dining Experience,0.4707654660425583,0.5918413423334332,0.16964864339210228,1.0,0.36592876718435463,0.21474604415540138,0.10001798864890313,-0.5679224167964865,-0.050467677782572634,0.2035285402761044,0.41627478736591794,0.2018255680479621,0.7338226064055043,0.13871756841226385,0.11311937517963615,0.007291200897385928,0.18825844162713065,0.03916841453496349
Value for Money,0.17597902584782152,0.4129762553779901,0.00894244424413592,0.36592876718435463,1.0,0.1663188132936559,0.3690449789322841,-0.40499467652072296,0.009261829337345033,0.10834980952003581,0.10521143351604594,0.2018755956146758,0.4816720457654335,0.3385217376048217,-0.00588413584083087,0.018991883900398392,0.6093747054858947,0.2550615433177147
Menu Variety,0.05290276469007096,0.143878873191511,0.040577464390376045,0.21474604415540138,0.1663188132936559,1.0,0.048360918387071815,-0.15936327314151072,0.046179080437862445,0.058107697700500206,0.022926865000575232,0.03482993966574842,0.20637644478778946,0.05731149545249584,-0.012771701791356626,0.14713951946039586,0.1391671343107617,1.3386787385905012e-18
Problem with Payment or Billing,0.09740985138632273,0.0634215662459935,-0.01624373449687296,0.10001798864890313,0.3690449789322841,0.048360918387071815,1.0,-0.1770053752817968,0.009405170550439764,-0.006864399691385661,0.08309406084654045,-0.09051668054487191,0.1802661134762889,0.4880620109216603,-0.017785768870307663,-0.03400488393620131,0.4032251132033622,0.11818646759216152
Customer dissatisfaction,-0.4924022784423752,-0.4639746710962089,-0.2541240898269484,-0.5679224167964865,-0.40499467652072296,-0.15936327314151072,-0.1770053752817968,1.0,-0.1084917297389243,-0.2840689045066109,-0.4588705263330909,-0.296415381324355,-0.712649489508028,-0.11937612168028872,-0.15987585347461405,-0.1322663085922206,-0.19397024695221,-0.0674994983962163
Restaurant Location,0.04454198964098647,-0.03721463913406817,0.1615331736600182,-0.050467677782572634,0.009261829337345033,0.046179080437862445,0.009405170550439764,-0.1084917297389243,1.0,-0.005529401691882764,0.07196008081655976,-0.007847189185505801,0.030312936817448125,-0.02899908751600245,0.009192785344275494,0.28187397913967227,0.015526371327741212,-2.7068176681606045e-18
Timeliness of Service,0.42400135664045857,0.06492654346370028,0.04226842694430747,0.2035285402761044,0.10834980952003581,0.058107697700500206,-0.006864399691385661,-0.2840689045066109,-0.005529401691882764,1.0,0.37228516039066745,0.08038303514776067,0.19222777268005659,0.01097920778940109,0.1261214827445558,-0.024549079057188106,0.008184710888120502,0.022407830642763627
Waitstaff's Attitude,0.9260547919327281,0.15229066954449558,0.1250618882227023,0.41627478736591794,0.10521143351604594,0.022926865000575232,0.08309406084654045,-0.4588705263330909,0.07196008081655976,0.37228516039066745,1.0,0.07183183502330305,0.40919564343244663,0.07437775097997158,0.07712319444551965,-0.023650277577414586,-0.008678235727061464,0.08017194991248897
Food Authenticity,0.09062493545921828,0.36992903005955335,0.031347230370692626,0.2018255680479621,0.2018755956146758,0.03482993966574842,-0.09051668054487191,-0.296415381324355,-0.007847189185505801,0.08038303514776067,0.07183183502330305,1.0,0.22951144160309755,-0.07437950456719089,0.32867465216239355,0.02017280565978991,0.0727718937923747,0.04274839491072955
Customer Return Intention,0.46945652314316905,0.6383220826888245,0.20062609188635244,0.7338226064055043,0.4816720457654335,0.20637644478778946,0.1802661134762889,-0.712649489508028,0.030312936817448125,0.19222777268005659,0.40919564343244663,0.22951144160309755,1.0,0.16954147150250437,0.1092953345826701,0.09955849011966547,0.2724583906338328,0.10380684981717492
Billing Transparency,0.08743567996663892,0.07593973973892529,0.07211379765879276,0.13871756841226385,0.3385217376048217,0.05731149545249584,0.4880620109216603,-0.11937612168028872,-0.02899908751600245,0.01097920778940109,0.07437775097997158,-0.07437950456719089,0.16954147150250437,1.0,-0.009487758270082627,-0.018139790365065737,0.21573577759130577,1.0340216437168602e-18
Food Presentation,0.0836910736056525,0.1636461464716706,0.11109342404758264,0.11311937517963615,-0.00588413584083087,-0.012771701791356626,-0.017785768870307663,-0.15987585347461405,0.009192785344275494,0.1261214827445558,0.07712319444551965,0.32867465216239355,0.1092953345826701,-0.009487758270082627,1.0,-0.008006482399474185,0.03885488179994107,-1.4343784759406163e-18
Quality of Waiting Area,0.010250240356334976,0.03475428607029863,0.29371868430911513,0.007291200897385928,0.018991883900398392,0.14713951946039586,-0.03400488393620131,-0.1322663085922206,0.28187397913967227,-0.024549079057188106,-0.023650277577414586,0.02017280565978991,0.09955849011966547,-0.018139790365065737,-0.008006482399474185,1.0,-0.013522737027757433,5.484820358413005e-18
Food Pricing,0.01840932999282079,0.20670674201756248,0.05375894110059816,0.18825844162713065,0.6093747054858947,0.1391671343107617,0.4032251132033622,-0.19397024695221,0.015526371327741212,0.008184710888120502,-0.008678235727061464,0.0727718937923747,0.2724583906338328,0.21573577759130577,0.03885488179994107,-0.013522737027757433,1.0,0.29623778596865297
Food Portion Size,0.07017136449924861,0.16889097063931235,0.017145905325925952,0.03916841453496349,0.2550615433177147,1.3386787385905012e-18,0.11818646759216152,-0.0674994983962163,-2.7068176681606045e-18,0.022407830642763627,0.08017194991248897,0.04274839491072955,0.10380684981717492,1.0340216437168602e-18,-1.4343784759406163e-18,5.484820358413005e-18,0.29623778596865297,1.0
