,0
0,38
1,50
2,52
3,165
4,118
5,112
6,65
7,160
8,187
9,6
10,44
11,95
12,96
13,97
14,44
15,63
16,17
17,109
18,116
19,62
20,14
21,174
22,23
23,44
24,130
25,10
26,14
27,114
28,177
29,135
30,189
31,129
32,60
33,170
34,7
35,136
36,104
37,50
38,186
39,166
40,82
41,164
42,73
43,186
44,190
45,167
46,169
47,3
48,150
49,104
50,40
51,32
52,25
53,33
54,25
55,122
56,4
57,103
58,40
59,22
60,166
61,167
62,160
63,6
64,19
65,21
66,162
67,134
68,185
69,94
70,198
71,134
72,161
73,56
74,168
75,19
76,136
77,54
78,1
79,12
80,57
81,127
82,47
83,129
84,87
85,41
86,101
87,156
88,69
89,25
90,130
91,11
92,10
93,144
94,171
95,107
96,12
97,172
98,136
99,16
100,148
101,193
102,39
103,149
104,171
105,105
106,2
107,3
108,100
109,168
110,92
111,86
112,86
113,18
114,99
115,67
116,133
117,153
118,64
119,144
120,113
121,88
122,54
123,7
124,120
125,147
126,49
127,26
128,137
129,105
130,93
131,183
132,26
133,145
134,11
135,10
136,96
137,163
138,198
139,194
140,42
141,142
142,15
143,23
144,73
145,164
146,58
147,138
148,72
149,136
150,174
151,52
152,196
153,123
154,162
155,182
156,179
157,162
158,152
159,45
160,129
161,34
162,66
163,61
164,41
165,177
166,38
167,104
168,165
169,157
170,183
171,185
172,95
173,51
174,35
175,85
176,41
177,158
178,137
179,33
180,40
181,89
182,113
183,53
184,14
185,84
186,196
187,129
188,150
189,152
190,121
191,37
192,13
193,160
194,63
195,170
196,38
197,147
198,157
199,166
200,180
201,69
202,145
203,123
204,107
205,7
206,126
207,74
208,196
209,23
210,144
211,69
212,193
213,197
214,117
215,160
216,43
217,88
218,40
219,142
220,126
221,21
222,83
223,97
224,30
225,52
226,137
227,37
228,196
229,139
230,134
231,32
232,10
233,39
234,163
235,163
236,70
237,43
238,124
239,136
240,179
241,5
242,62
243,47
244,132
245,82
246,74
247,164
248,112
249,57
250,146
251,195
252,64
253,197
254,104
255,12
256,60
257,184
258,124
259,192
260,167
261,154
262,142
263,136
264,140
265,36
266,83
267,81
268,166
269,1
270,46
271,71
272,159
273,79
274,8
275,193
276,0
277,44
278,159
279,102
280,127
281,155
282,104
283,78
284,127
285,158
286,99
287,38
288,151
289,49
290,61
291,176
292,48
293,42
294,111
295,85
296,33
297,62
298,28
299,171
300,169
301,0
302,103
303,111
304,72
305,172
306,126
307,135
308,81
309,174
310,135
311,182
312,122
313,23
314,152
315,144
316,27
317,148
318,126
319,197
320,68
321,68
322,99
323,95
324,176
325,74
326,169
327,74
328,65
329,138
330,29
331,46
332,63
333,178
334,76
335,63
336,150
337,64
338,34
339,33
340,30
341,57
342,139
343,114
344,27
345,184
346,93
347,17
348,162
349,134
350,109
351,79
352,30
353,103
354,120
355,109
356,16
357,166
358,198
359,156
360,107
361,120
362,30
363,3
364,100
365,15
366,156
367,93
368,175
369,112
370,181
371,178
372,51
373,196
374,95
375,178
376,178
377,160
378,184
379,116
380,44
381,197
382,61
383,160
384,137
385,152
386,199
387,96
388,78
389,9
390,193
391,14
392,97
393,67
394,27
395,47
396,131
397,141
398,75
399,117
400,2
401,59
402,28
403,145
404,194
405,139
406,5
407,163
408,182
409,54
410,1
411,116
412,97
413,63
414,122
415,63
416,173
417,132
418,150
419,75
420,105
421,124
422,140
423,171
424,158
425,140
426,104
427,60
428,127
429,193
430,33
431,130
432,116
433,73
434,24
435,73
436,94
437,168
438,131
439,13
440,31
441,108
442,150
443,198
444,18
445,160
446,183
447,61
448,154
449,134
450,177
451,54
452,33
453,123
454,15
455,140
456,100
457,168
458,32
459,156
460,108
461,180
462,168
463,62
464,86
465,103
466,63
467,83
468,44
469,68
470,163
471,194
472,62
473,115
474,119
475,24
476,75
477,8
478,126
479,137
480,142
481,50
482,80
483,188
484,193
485,64
486,90
487,27
488,94
489,12
490,180
491,158
492,12
493,74
494,0
495,102
496,73
497,15
498,17
499,81
500,34
501,81
502,27
503,158
504,103
505,10
506,57
507,110
508,123
509,19
510,182
511,45
512,130
513,8
514,125
515,6
516,153
517,173
518,23
519,76
520,60
521,87
522,128
523,0
524,191
525,165
526,60
527,83
528,18
529,110
530,23
531,139
532,122
533,191
534,197
535,61
536,137
537,129
538,144
539,5
540,140
541,107
542,75
543,130
544,46
545,128
546,109
547,144
548,138
549,95
550,7
551,148
552,109
553,192
554,69
555,194
556,135
557,21
558,199
559,28
560,49
561,130
562,48
563,50
564,37
565,52
566,65
567,146
568,141
569,176
570,57
571,163
572,13
573,84
574,198
575,195
576,54
577,70
578,55
579,33
580,108
581,141
582,115
583,194
584,77
585,62
586,46
587,36
588,121
589,40
590,28
591,173
592,20
593,169
594,97
595,196
596,105
597,119
598,35
599,176
600,10
601,3
602,138
603,130
604,61
605,149
606,28
607,199
608,91
609,114
610,89
611,159
612,97
613,54
614,88
615,158
616,185
617,175
618,65
619,181
620,106
621,19
622,8
623,146
624,32
625,178
626,106
627,101
628,116
629,130
630,16
631,41
632,71
633,83
634,1
635,52
636,55
637,9
638,21
639,69
640,106
641,13
642,123
643,46
644,170
645,57
646,52
647,198
648,131
649,38
650,117
651,149
652,149
653,115
654,87
655,92
656,21
657,76
658,86
659,109
660,189
661,27
662,113
663,4
664,41
665,0
666,73
667,142
668,67
669,146
670,151
671,69
672,133
673,7
674,4
675,183
676,21
677,87
678,88
679,57
680,81
681,78
682,156
683,124
684,83
685,42
686,113
687,4
688,188
689,174
690,137
691,25
692,160
693,197
694,144
695,91
696,73
697,83
698,20
699,185
700,172
701,71
702,123
703,137
704,116
705,12
706,45
707,14
708,105
709,147
710,76
711,55
712,7
713,2
714,148
715,13
716,164
717,78
718,30
719,75
720,86
721,94
722,107
723,140
724,110
725,27
726,73
727,152
728,119
729,79
730,39
731,138
732,191
733,102
734,118
735,55
736,106
737,98
738,150
739,55
740,36
741,171
742,166
743,77
744,152
745,81
746,37
747,42
748,186
749,29
750,71
751,75
752,19
753,180
754,115
755,63
756,27
757,0
758,121
759,130
760,79
761,119
762,22
763,56
764,148
765,15
766,133
767,59
768,11
769,43
770,94
771,34
772,86
773,91
774,55
775,11
776,10
777,102
778,57
779,183
780,144
781,24
782,137
783,35
784,98
785,49
786,89
787,70
788,65
789,152
790,72
791,107
792,121
793,122
794,185
795,10
796,75
797,104
798,178
799,154
800,173
801,141
802,98
803,85
804,8
805,21
806,48
807,186
808,172
809,117
810,22
811,168
812,51
813,51
814,107
815,55
816,4
817,154
818,70
819,198
820,110
821,0
822,95
823,184
824,175
825,179
826,149
827,172
828,177
829,186
830,180
831,88
832,115
833,125
834,39
835,23
836,38
837,60
838,155
839,159
840,177
841,17
842,107
843,29
844,117
845,115
846,142
847,12
848,41
849,160
850,181
851,151
852,8
853,29
854,33
855,109
856,105
857,129
858,97
859,17
860,93
861,113
862,98
863,189
864,46
865,109
866,164
867,173
868,10
869,114
870,62
871,132
872,161
873,70
874,197
875,196
876,120
877,169
878,96
879,59
880,128
881,66
882,18
883,131
884,197
885,154
886,183
887,9
888,43
889,4
890,91
891,140
892,6
893,144
894,102
895,183
896,34
897,109
898,149
899,149
900,169
901,35
902,68
903,133
904,46
905,84
906,49
907,129
908,42
909,99
910,93
911,125
912,188
913,28
914,73
915,12
916,106
917,47
918,160
919,137
920,56
921,93
922,96
923,110
924,3
925,83
926,98
927,12
928,43
929,88
930,40
931,36
932,124
933,180
934,69
935,23
936,57
937,128
938,13
939,97
940,86
941,122
942,158
943,53
944,140
945,21
946,13
947,147
948,164
949,92
950,12
951,100
952,159
953,161
954,73
955,72
956,42
957,125
958,161
959,117
960,28
961,119
962,188
963,27
964,59
965,19
966,114
967,193
968,187
969,79
970,139
971,17
972,82
973,153
974,109
975,113
976,4
977,118
978,80
979,121
980,192
981,93
982,150
983,181
984,193
985,182
986,119
987,56
988,117
989,4
990,104
991,62
992,155
993,110
994,181
995,127
996,144
997,60
998,64
999,44
1000,186
1001,62
1002,81
1003,191
1004,174
1005,14
1006,96
1007,64
1008,146
1009,151
1010,181
1011,65
1012,130
1013,101
1014,185
1015,67
1016,159
1017,178
1018,175
1019,18
1020,86
1021,150
1022,199
1023,10
1024,145
1025,4
1026,154
1027,192
1028,60
1029,179
1030,2
1031,168
1032,171
1033,147
1034,57
1035,79
1036,95
1037,4
1038,165
1039,114
1040,96
1041,44
1042,132
1043,34
1044,179
1045,63
1046,67
1047,172
1048,169
1049,155
1050,108
1051,81
1052,147
1053,148
1054,178
1055,32
1056,0
1057,162
1058,2
1059,140
1060,154
1061,157
1062,48
1063,129
1064,2
1065,91
1066,43
1067,100
1068,75
1069,31
1070,68
1071,142
1072,97
1073,48
1074,38
1075,60
1076,196
1077,149
1078,48
1079,52
1080,18
1081,153
1082,20
1083,133
1084,70
1085,52
1086,192
1087,177
1088,59
1089,154
1090,154
1091,150
1092,51
1093,193
1094,173
1095,34
1096,126
1097,102
1098,138
1099,48
1100,15
1101,177
1102,16
1103,117
1104,188
1105,160
1106,30
1107,34
1108,195
1109,63
1110,29
1111,163
1112,190
1113,124
1114,152
1115,155
1116,45
1117,149
1118,7
1119,22
1120,189
1121,111
1122,17
1123,36
1124,128
1125,19
1126,178
1127,119
1128,139
1129,93
1130,87
1131,4
1132,151
1133,156
1134,151
1135,84
1136,25
1137,190
1138,27
1139,120
1140,68
1141,68
1142,119
1143,75
1144,39
1145,94
1146,50
1147,194
1148,98
1149,23
1150,91
1151,64
1152,48
1153,169
1154,134
1155,180
1156,15
1157,40
1158,53
1159,49
1160,86
1161,87
1162,119
1163,118
1164,42
1165,48
1166,97
1167,108
1168,76
1169,154
1170,0
1171,194
1172,112
1173,178
1174,108
1175,125
1176,191
1177,195
1178,127
1179,167
1180,127
1181,46
1182,116
1183,182
1184,62
1185,59
1186,162
1187,59
1188,6
1189,65
1190,50
1191,19
1192,171
1193,96
1194,120
1195,178
1196,164
1197,199
1198,169
1199,187
1200,97
1201,156
1202,94
1203,136
1204,103
1205,168
1206,87
1207,17
1208,115
1209,113
1210,55
1211,90
1212,9
1213,3
1214,160
1215,4
1216,191
1217,40
1218,65
1219,18
1220,176
1221,98
1222,92
1223,56
1224,191
1225,53
1226,111
1227,5
1228,172
1229,73
1230,51
1231,195
1232,158
1233,162
1234,104
1235,72
1236,161
1237,86
1238,160
1239,17
1240,49
1241,156
1242,191
1243,115
1244,111
1245,144
1246,170
1247,9
1248,70
1249,15
1250,19
1251,177
1252,88
1253,71
1254,134
1255,99
1256,33
1257,142
1258,159
1259,52
1260,143
1261,126
1262,106
1263,138
1264,155
1265,84
1266,61
1267,22
1268,164
1269,14
1270,14
1271,161
1272,145
1273,142
1274,118
1275,96
1276,186
1277,142
1278,197
1279,143
1280,92
1281,141
1282,61
1283,173
1284,165
1285,90
1286,92
1287,57
1288,164
1289,198
1290,66
1291,19
1292,143
1293,140
1294,88
1295,139
1296,179
1297,101
1298,141
1299,140
1300,121
1301,173
1302,99
1303,3
1304,171
1305,78
1306,52
1307,98
1308,176
1309,174
1310,186
1311,56
1312,101
1313,29
1314,111
1315,0
1316,180
1317,56
1318,41
1319,24
1320,77
1321,104
1322,55
1323,105
1324,192
1325,95
1326,191
1327,4
1328,187
1329,69
1330,8
1331,155
1332,34
1333,119
1334,138
1335,147
1336,135
1337,136
1338,94
1339,169
1340,168
1341,118
1342,164
1343,75
1344,121
1345,65
1346,145
1347,84
1348,191
1349,126
1350,140
1351,179
1352,84
1353,171
1354,185
1355,78
1356,131
1357,32
1358,135
1359,18
1360,20
1361,139
1362,2
1363,179
1364,25
1365,199
1366,24
1367,188
1368,34
1369,64
1370,168
1371,166
1372,182
1373,196
1374,50
1375,164
1376,159
1377,90
1378,42
1379,64
1380,32
1381,45
1382,26
1383,0
1384,121
1385,11
1386,199
1387,34
1388,135
1389,133
1390,49
1391,192
1392,159
1393,90
1394,80
1395,66
1396,58
1397,20
1398,55
1399,193
1400,133
1401,143
1402,56
1403,136
1404,4
1405,108
1406,190
1407,9
1408,4
1409,161
1410,182
1411,105
1412,51
1413,10
1414,188
1415,79
1416,144
1417,58
1418,138
1419,87
1420,1
1421,46
1422,197
1423,27
1424,167
1425,159
1426,16
1427,11
1428,119
1429,189
1430,82
1431,12
1432,129
1433,44
1434,110
1435,131
1436,115
1437,62
1438,22
1439,49
1440,168
1441,43
1442,45
1443,166
1444,138
1445,103
1446,13
1447,90
1448,189
1449,149
1450,37
1451,43
1452,98
1453,81
1454,99
1455,36
1456,87
1457,67
1458,189
1459,91
1460,135
1461,182
1462,98
1463,126
1464,118
1465,35
1466,37
1467,18
1468,107
1469,17
1470,109
1471,172
1472,174
1473,79
1474,197
1475,98
1476,189
1477,105
1478,74
1479,156
1480,185
1481,103
1482,43
1483,158
1484,193
1485,53
1486,67
1487,179
1488,186
1489,138
1490,163
1491,123
1492,21
1493,77
1494,161
1495,67
1496,196
1497,38
1498,176
1499,166
1500,168
1501,158
1502,102
1503,52
1504,171
1505,145
1506,97
1507,145
1508,87
1509,74
1510,134
1511,98
1512,0
1513,97
1514,25
1515,10
1516,19
1517,170
1518,182
1519,96
1520,70
1521,176
1522,1
1523,93
1524,197
1525,92
1526,122
1527,79
1528,124
1529,77
1530,6
1531,1
1532,67
1533,129
1534,107
1535,111
1536,115
1537,56
1538,17
1539,83
1540,71
1541,122
1542,74
1543,147
1544,188
1545,56
1546,97
1547,147
1548,141
1549,162
1550,119
1551,72
1552,2
1553,5
1554,103
1555,31
1556,109
1557,128
1558,35
1559,59
1560,145
1561,87
1562,63
1563,102
1564,152
1565,79
1566,17
1567,0
1568,8
1569,152
1570,40
1571,99
1572,31
1573,89
1574,191
1575,187
1576,0
1577,153
1578,94
1579,173
1580,85
1581,119
1582,6
1583,103
1584,64
1585,74
1586,147
1587,38
1588,88
1589,88
1590,98
1591,83
1592,196
1593,166
1594,56
1595,124
1596,140
1597,184
1598,162
1599,154
1600,131
1601,127
1602,116
1603,65
1604,147
1605,16
1606,176
1607,80
1608,190
1609,192
1610,103
1611,163
1612,102
1613,126
1614,59
1615,163
1616,51
1617,68
1618,98
1619,157
1620,81
1621,190
1622,68
1623,139
1624,118
1625,129
1626,176
1627,122
1628,12
1629,174
1630,118
1631,156
1632,32
1633,104
1634,59
1635,122
1636,43
1637,124
1638,42
1639,47
1640,128
1641,102
1642,139
1643,43
1644,103
1645,54
1646,169
1647,109
1648,47
1649,75
1650,14
1651,153
1652,105
1653,148
1654,167
1655,10
1656,108
1657,76
1658,94
1659,143
1660,85
1661,86
1662,127
1663,163
1664,188
1665,88
1666,145
1667,175
1668,141
1669,160
1670,63
1671,67
1672,180
1673,179
1674,102
1675,37
1676,106
1677,91
1678,146
1679,50
1680,116
1681,135
1682,59
1683,76
1684,197
1685,95
1686,66
1687,132
1688,100
1689,4
1690,59
1691,80
1692,126
1693,87
1694,147
1695,104
1696,193
1697,24
1698,106
1699,190
1700,33
1701,198
1702,54
1703,41
1704,21
1705,91
1706,190
1707,95
1708,164
1709,127
1710,5
1711,56
1712,136
1713,76
1714,175
1715,193
1716,121
1717,198
1718,187
1719,53
1720,54
1721,44
1722,72
1723,173
1724,97
1725,17
1726,29
1727,23
1728,37
1729,128
1730,52
1731,194
1732,140
1733,44
1734,55
1735,136
1736,12
1737,186
1738,31
1739,166
1740,54
1741,11
1742,161
1743,165
1744,105
1745,26
1746,111
1747,116
1748,57
1749,182
1750,150
1751,43
1752,156
1753,90
1754,68
1755,162
1756,39
1757,100
1758,106
1759,175
1760,69
1761,72
1762,152
1763,144
1764,73
1765,27
1766,122
1767,149
1768,54
1769,58
1770,158
1771,95
1772,89
1773,80
1774,55
1775,101
1776,10
1777,129
1778,167
1779,20
1780,102
1781,122
1782,189
1783,10
1784,115
1785,13
1786,19
1787,111
1788,114
1789,58
1790,129
1791,146
1792,155
1793,190
1794,77
1795,129
1796,117
1797,81
1798,32
1799,25
1800,177
1801,51
1802,85
1803,11
1804,8
1805,43
1806,58
1807,151
1808,164
1809,79
1810,199
1811,3
1812,175
1813,46
1814,189
1815,63
1816,2
1817,136
1818,139
1819,76
1820,181
1821,63
1822,64
1823,179
1824,144
1825,109
1826,20
1827,94
1828,81
1829,149
1830,120
1831,70
1832,195
1833,184
1834,41
1835,12
1836,83
1837,172
1838,28
1839,5
1840,16
1841,124
1842,73
1843,99
1844,46
1845,15
1846,95
1847,163
1848,127
1849,80
1850,198
1851,22
1852,187
1853,134
1854,126
1855,53
1856,157
1857,29
1858,45
1859,34
1860,27
1861,170
1862,158
1863,86
1864,41
1865,31
1866,110
1867,181
1868,53
1869,61
1870,16
1871,168
1872,32
1873,29
1874,7
1875,100
1876,105
1877,135
1878,119
1879,121
1880,31
1881,51
1882,112
1883,132
1884,183
1885,73
1886,44
1887,125
1888,30
1889,87
1890,38
1891,81
1892,88
1893,79
1894,27
1895,169
1896,192
1897,53
1898,172
1899,180
1900,148
1901,89
1902,149
1903,99
1904,40
1905,90
1906,141
1907,89
1908,144
1909,134
1910,24
1911,192
1912,20
1913,188
1914,181
1915,102
1916,5
1917,147
1918,44
1919,127
1920,11
1921,25
1922,110
1923,145
1924,79
1925,15
1926,167
1927,101
1928,37
1929,15
1930,49
1931,27
1932,39
1933,72
1934,125
1935,25
1936,111
1937,39
1938,173
1939,112
1940,29
1941,80
1942,13
1943,163
1944,118
1945,190
1946,148
1947,93
1948,171
1949,33
1950,39
1951,138
1952,161
1953,165
1954,13
1955,16
1956,32
1957,121
1958,168
1959,185
1960,78
1961,48
1962,154
1963,99
1964,171
1965,173
1966,25
1967,189
1968,173
1969,24
1970,144
1971,91
1972,33
1973,102
1974,160
1975,67
1976,69
1977,43
1978,46
1979,2
1980,101
1981,142
1982,141
1983,62
1984,117
1985,115
1986,182
1987,181
1988,100
1989,90
1990,199
1991,184
1992,77
1993,123
1994,120
1995,161
1996,12
1997,22
1998,45
1999,44
2000,114
2001,127
2002,20
2003,6
2004,3
2005,121
2006,134
2007,142
2008,107
2009,92
2010,167
2011,62
2012,179
2013,114
2014,141
2015,78
2016,73
2017,39
2018,39
2019,80
2020,31
2021,16
2022,55
2023,6
2024,17
2025,12
2026,82
2027,41
2028,128
2029,28
2030,136
2031,85
2032,25
2033,143
2034,199
2035,66
2036,91
2037,35
2038,44
2039,31
2040,74
2041,106
2042,34
2043,193
2044,31
2045,184
2046,58
2047,148
2048,165
2049,97
2050,27
2051,72
2052,26
2053,105
2054,45
2055,143
2056,187
2057,179
2058,159
2059,74
2060,173
2061,144
2062,73
2063,52
2064,38
2065,187
2066,53
2067,49
2068,139
2069,167
2070,33
2071,7
2072,19
2073,50
2074,118
2075,90
2076,142
2077,121
2078,153
2079,10
2080,87
2081,128
2082,78
2083,131
2084,53
2085,117
2086,174
2087,148
2088,36
2089,46
2090,88
2091,53
2092,107
2093,55
2094,151
2095,185
2096,109
2097,147
2098,192
2099,184
2100,68
2101,106
2102,86
2103,142
2104,40
2105,179
2106,126
2107,38
2108,11
2109,101
2110,192
2111,120
2112,31
2113,191
2114,29
2115,82
2116,130
2117,58
2118,129
2119,48
2120,183
2121,124
2122,97
2123,152
2124,6
2125,2
2126,76
2127,152
2128,3
2129,139
2130,54
2131,50
2132,185
2133,54
2134,87
2135,136
2136,185
2137,195
2138,105
2139,90
2140,134
2141,35
2142,11
2143,19
2144,183
2145,139
2146,112
2147,163
2148,162
2149,19
2150,184
2151,67
2152,147
2153,134
2154,72
2155,176
2156,79
2157,108
2158,73
2159,116
2160,104
2161,107
2162,121
2163,59
2164,162
2165,65
2166,69
2167,153
2168,177
2169,167
2170,30
2171,133
2172,133
2173,38
2174,185
2175,178
2176,7
2177,74
2178,138
2179,127
2180,63
2181,47
2182,188
2183,111
2184,28
2185,22
2186,129
2187,179
2188,54
2189,157
2190,82
2191,13
2192,198
2193,18
2194,42
2195,22
2196,26
2197,30
2198,194
2199,136
2200,172
2201,184
2202,82
2203,58
2204,127
2205,189
2206,116
2207,138
2208,12
2209,23
2210,90
2211,171
2212,118
2213,53
2214,122
2215,178
2216,102
2217,142
