,dataset_name,model_name,featurizer_name,featurizer_frac,depth,bit,max_depth,max_rules,max_trees,pre_interaction,pre_max_features,post_interaction,post_max_features,r2_score_train_true,r2_score_val_true
0,qsar,xgboost,no_featurizer,0.3,2,0,4,1,1,l0l2,0.0,l0l2,0.0,0.9215621948242188,0.42265254259109497
1,airfoil,figs,no_featurizer,0.7,3,0,1,60,30,l0l2,0.0,l0l2,0.0,0.895269442466171,0.8409412679529129
4,qsar,random_forest,no_featurizer,0.7,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.5602289292981452,0.33640850980516035
5,miami_housing,figs,no_featurizer,0.3,3,0,1,50,30,l0l2,0.0,l0l2,0.0,0.8965452372519747,0.8477722342966206
10,abalone,resnet,no_featurizer,0.7,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.4749305248260498,0.4283033013343811
11,ca_housing,resnet,no_featurizer,0.3,2,0,4,1,1,l0l2,0.0,l0l2,0.0,0.741652344679535,0.7119526943986274
15,miami_housing,xgboost,no_featurizer,0.7,3,0,4,1,1,l0l2,0.0,l0l2,0.0,0.9790025258461438,0.9039684425230238
17,miami_housing,xgboost,no_featurizer,0.3,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.9790025258461438,0.9039684425230238
18,abalone,figs,no_featurizer,0.3,3,1,1,60,30,l0l2,0.0,l0l2,0.0,0.6712325361094764,0.3260119961373228
24,qsar,resnet,no_featurizer,0.3,3,1,5,1,1,l0l2,0.0,l0l2,0.0,-0.24258267879486084,-0.20375585556030273
25,airfoil,xgboost,no_featurizer,0.7,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.9743204885282272,0.9021690030709102
26,parkinsons,random_forest,no_featurizer,0.3,2,0,4,1,1,l0l2,0.0,l0l2,0.0,0.5802246042418164,0.5739815856121839
29,qsar,resnet,no_featurizer,0.7,3,1,4,1,1,l0l2,0.0,l0l2,0.0,-0.14516949653625488,-0.10103559494018555
30,insurance,ft_transformer,no_featurizer,0.3,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.6901352103260223,0.6724034470816347
31,ca_housing,ft_transformer,no_featurizer,0.7,2,0,4,1,1,l0l2,0.0,l0l2,0.0,0.7484946002000143,0.7076923970622043
32,powerplant,figs,no_featurizer,0.3,2,0,1,60,30,l0l2,0.0,l0l2,0.0,0.9489297159891148,0.9306029994682877
33,mercedes,figs,no_featurizer,0.3,2,1,1,60,30,l0l2,0.0,l0l2,0.0,0.6929944402210431,0.4078273068773308
35,cpu_act,figs,no_featurizer,0.7,2,0,1,50,30,l0l2,0.0,l0l2,0.0,0.9822361248482646,0.9765757386485994
36,insurance,figs,no_featurizer,0.3,2,0,1,60,30,l0l2,0.0,l0l2,0.0,0.9382219883222768,0.7626519008419391
38,parkinsons,ft_transformer,no_featurizer,0.7,2,0,5,1,1,l0l2,0.0,l0l2,0.0,0.8027219182093319,0.7898047905746414
39,allstate,resnet,no_featurizer,0.3,2,1,5,1,1,l0l2,0.0,l0l2,0.0,0.4892869202925425,0.4580103547286315
42,powerplant,random_forest,no_featurizer,0.3,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.9423476626628206,0.9402810112434892
44,ca_housing,figs,no_featurizer,0.3,2,0,1,60,30,l0l2,0.0,l0l2,0.0,0.8104577744671647,0.7883194296851229
46,concrete,resnet,no_featurizer,0.3,2,0,4,1,1,l0l2,0.0,l0l2,0.0,0.6643014362388617,0.6789520937224187
47,cpu_act,rf_plus,no_featurizer,0.3,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.9735934384241048,0.9743252321291316
49,miami_housing,xgboost,no_featurizer,0.7,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.9790025258461438,0.9039684425230238
52,insurance,xgboost,no_featurizer,0.7,2,1,5,1,1,l0l2,0.0,l0l2,0.0,0.9924187435588987,0.8129203075748553
58,abalone,ft_transformer,no_featurizer,0.3,2,0,4,1,1,l0l2,0.0,l0l2,0.0,0.4599835276603699,0.443092942237854
59,abalone,ft_transformer,no_featurizer,0.7,2,0,5,1,1,l0l2,0.0,l0l2,0.0,0.468538761138916,0.44569265842437744
62,transaction,rf_plus,no_featurizer,0.3,2,0,4,1,1,l0l2,0.0,l0l2,0.0,0.2740454766564109,0.16678199164682384
63,parkinsons,resnet,no_featurizer,0.7,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.8229949306270137,0.8256306629959057
64,ca_housing,rf_plus,no_featurizer,0.7,3,0,5,1,1,l0l2,0.0,l0l2,0.0,0.6792419152472262,0.6377313820604835
65,parkinsons,xgboost,no_featurizer,0.7,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.9568136994878034,0.8933838209706018
66,parkinsons,rf_plus,no_featurizer,0.3,2,0,5,1,1,l0l2,0.0,l0l2,0.0,0.6969280453287832,0.6907002349288706
67,miami_housing,rf_plus,no_featurizer,0.3,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.8429198058669997,0.8195133119211561
69,ca_housing,random_forest,no_featurizer,0.7,3,0,5,1,1,l0l2,0.0,l0l2,0.0,0.6883296904110253,0.639150420627462
70,airfoil,random_forest,no_featurizer,0.7,3,0,5,1,1,l0l2,0.0,l0l2,0.0,0.7886828275770157,0.7112848350218881
71,ca_housing,ft_transformer,no_featurizer,0.7,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.7609543618817503,0.7265436815901742
75,parkinsons,figs,no_featurizer,0.3,3,0,1,60,30,l0l2,0.0,l0l2,0.0,0.910702812933035,0.880458942378799
76,ca_housing,random_forest,no_featurizer,0.3,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.6408091126049313,0.591853571795089
78,insurance,ft_transformer,no_featurizer,0.3,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.6710975643954677,0.6229063663185419
79,transaction,xgboost,no_featurizer,0.3,2,1,5,1,1,l0l2,0.0,l0l2,0.0,0.8250874104050199,0.07101026012218414
81,ca_housing,ft_transformer,no_featurizer,0.3,3,0,5,1,1,l0l2,0.0,l0l2,0.0,0.743526929959891,0.7123307051038601
82,parkinsons,ft_transformer,no_featurizer,0.7,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.79771086746305,0.7861427512216013
83,ca_housing,resnet,no_featurizer,0.7,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.7432301492799265,0.7126976621485379
84,qsar,xgboost,no_featurizer,0.7,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.9633604288101196,0.4114609956741333
86,airfoil,xgboost,no_featurizer,0.3,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.9926923192960407,0.9249019377591806
87,ca_housing,random_forest,no_featurizer,0.3,3,0,4,1,1,l0l2,0.0,l0l2,0.0,0.6408091126049313,0.591853571795089
90,concrete,rf_plus,no_featurizer,0.7,3,0,5,1,1,l0l2,0.0,l0l2,0.0,0.8969516395440078,0.8985943926642262
95,ca_housing,random_forest,no_featurizer,0.3,2,1,5,1,1,l0l2,0.0,l0l2,0.0,0.6883296904110253,0.639150420627462
99,ca_housing,figs,no_featurizer,0.7,2,0,1,60,30,l0l2,0.0,l0l2,0.0,0.8104577744671647,0.7883194296851229
100,cpu_act,resnet,no_featurizer,0.3,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.9599477052688599,0.9576943516731262
101,concrete,xgboost,no_featurizer,0.7,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.9896662611117714,0.9151856957601803
104,cpu_act,figs,no_featurizer,0.3,3,1,1,50,30,l0l2,0.0,l0l2,0.0,0.9822361248482646,0.9765757386485994
105,parkinsons,resnet,no_featurizer,0.3,2,1,5,1,1,l0l2,0.0,l0l2,0.0,0.8095653148744936,0.8102778165950582
106,powerplant,rf_plus,no_featurizer,0.7,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.9382873619370015,0.9405277688883538
107,airfoil,rf_plus,no_featurizer,0.7,2,0,4,1,1,l0l2,0.0,l0l2,0.0,0.7080848399039603,0.6417466299417267
111,ca_housing,xgboost,no_featurizer,0.7,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.8894601422308204,0.8194929479202618
114,miami_housing,rf_plus,no_featurizer,0.7,2,1,5,1,1,l0l2,0.0,l0l2,0.0,0.8815969095087353,0.8539525854864933
117,qsar,xgboost,no_featurizer,0.3,3,0,5,1,1,l0l2,0.0,l0l2,0.0,0.9633604288101196,0.4114609956741333
118,concrete,figs,no_featurizer,0.7,2,0,1,60,30,l0l2,0.0,l0l2,0.0,0.9592860579163266,0.9077125698699537
119,qsar,resnet,no_featurizer,0.3,2,1,4,1,1,l0l2,0.0,l0l2,0.0,-0.08540546894073486,-0.0689084529876709
121,concrete,random_forest,no_featurizer,0.7,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.8225770246811328,0.8196241118494089
124,qsar,random_forest,no_featurizer,0.3,2,1,5,1,1,l0l2,0.0,l0l2,0.0,0.5602289292981452,0.33640850980516035
125,concrete,random_forest,no_featurizer,0.7,3,0,4,1,1,l0l2,0.0,l0l2,0.0,0.8225770246811328,0.8196241118494089
127,miami_housing,xgboost,no_featurizer,0.7,2,1,5,1,1,l0l2,0.0,l0l2,0.0,0.9884902679234429,0.9147622355062575
128,parkinsons,xgboost,no_featurizer,0.7,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.97856495125099,0.891466011576189
129,airfoil,ft_transformer,no_featurizer,0.3,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.4518632129794492,0.3726283888957872
131,transaction,figs,no_featurizer,0.3,2,0,1,50,30,l0l2,0.0,l0l2,0.0,0.5358689534089095,-0.21364894228366826
133,qsar,random_forest,no_featurizer,0.3,2,0,4,1,1,l0l2,0.0,l0l2,0.0,0.47007756256758626,0.2964780591819963
135,cpu_act,figs,no_featurizer,0.7,3,1,1,60,30,l0l2,0.0,l0l2,0.0,0.9834478214681828,0.9772517549817435
139,airfoil,ft_transformer,no_featurizer,0.3,3,0,5,1,1,l0l2,0.0,l0l2,0.0,0.2867539420439439,0.23522471241109055
142,abalone,xgboost,no_featurizer,0.7,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.9266168475151062,0.456440269947052
144,powerplant,ft_transformer,no_featurizer,0.7,2,0,5,1,1,l0l2,0.0,l0l2,0.0,0.935808832342553,0.9376094456002709
146,qsar,xgboost,no_featurizer,0.7,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.9215621948242188,0.42265254259109497
148,transaction,random_forest,no_featurizer,0.3,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.327088690863396,0.16727887447202372
150,airfoil,xgboost,no_featurizer,0.7,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.9926923192960407,0.9249019377591806
152,airfoil,xgboost,no_featurizer,0.3,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.9743204885282272,0.9021690030709102
153,qsar,resnet,no_featurizer,0.3,2,1,5,1,1,l0l2,0.0,l0l2,0.0,-0.04796469211578369,-0.03876686096191406
154,airfoil,ft_transformer,no_featurizer,0.7,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.47273423645495494,0.44673919831638453
155,powerplant,rf_plus,no_featurizer,0.7,3,0,4,1,1,l0l2,0.0,l0l2,0.0,0.9382873619370015,0.9405277688883538
157,insurance,rf_plus,no_featurizer,0.3,2,0,4,1,1,l0l2,0.0,l0l2,0.0,0.8652096651188181,0.8597207715760915
159,qsar,xgboost,no_featurizer,0.3,2,1,5,1,1,l0l2,0.0,l0l2,0.0,0.9633604288101196,0.4114609956741333
162,concrete,ft_transformer,no_featurizer,0.7,3,0,5,1,1,l0l2,0.0,l0l2,0.0,0.7140204650961255,0.7331136398023184
163,insurance,rf_plus,no_featurizer,0.7,3,0,5,1,1,l0l2,0.0,l0l2,0.0,0.8752318311029161,0.8569849298546656
164,abalone,rf_plus,no_featurizer,0.7,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.5775839266594216,0.525124411776533
165,concrete,xgboost,no_featurizer,0.3,2,1,5,1,1,l0l2,0.0,l0l2,0.0,0.9945443791223896,0.9188891502507383
167,miami_housing,random_forest,no_featurizer,0.3,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.8094291260568247,0.7765100785814513
169,powerplant,xgboost,no_featurizer,0.7,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.9822462798022942,0.9627432675883084
171,airfoil,resnet,no_featurizer,0.7,2,0,4,1,1,l0l2,0.0,l0l2,0.0,0.4494283677952975,0.34956342304084487
174,airfoil,ft_transformer,no_featurizer,0.3,2,0,5,1,1,l0l2,0.0,l0l2,0.0,0.4576814223911131,0.3928835979931167
176,miami_housing,rf_plus,no_featurizer,0.7,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.8429198058669997,0.8195133119211561
177,airfoil,rf_plus,no_featurizer,0.3,2,0,4,1,1,l0l2,0.0,l0l2,0.0,0.7080848399039603,0.6417466299417267
179,ca_housing,figs,no_featurizer,0.3,2,1,1,50,30,l0l2,0.0,l0l2,0.0,0.8014917963196361,0.7805569598123064
181,concrete,resnet,no_featurizer,0.7,3,0,5,1,1,l0l2,0.0,l0l2,0.0,0.6700194847386931,0.6781657945266288
182,ca_housing,resnet,no_featurizer,0.7,3,0,4,1,1,l0l2,0.0,l0l2,0.0,0.7341246207197833,0.7019650438881178
183,concrete,ft_transformer,no_featurizer,0.3,2,0,4,1,1,l0l2,0.0,l0l2,0.0,0.6706786126459472,0.6939734438931198
184,miami_housing,xgboost,no_featurizer,0.3,2,0,5,1,1,l0l2,0.0,l0l2,0.0,0.9884902679234429,0.9147622355062575
185,cpu_act,resnet,no_featurizer,0.3,3,0,4,1,1,l0l2,0.0,l0l2,0.0,0.9603027105331421,0.9554811716079712
186,concrete,rf_plus,no_featurizer,0.7,2,1,5,1,1,l0l2,0.0,l0l2,0.0,0.8969516395440078,0.8985943926642262
187,transaction,figs,no_featurizer,0.7,2,0,1,60,30,l0l2,0.0,l0l2,0.0,0.5757651524948983,-0.23760365666892813
188,abalone,xgboost,no_featurizer,0.7,3,0,4,1,1,l0l2,0.0,l0l2,0.0,0.8615106344223022,0.5020395517349243
189,insurance,xgboost,no_featurizer,0.3,2,1,5,1,1,l0l2,0.0,l0l2,0.0,0.9924187435588987,0.8129203075748553
190,qsar,xgboost,no_featurizer,0.7,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.9215621948242188,0.42265254259109497
191,airfoil,figs,no_featurizer,0.3,2,0,1,50,30,l0l2,0.0,l0l2,0.0,0.878110408670732,0.8216055724203872
192,miami_housing,random_forest,no_featurizer,0.3,3,0,5,1,1,l0l2,0.0,l0l2,0.0,0.8614219233159424,0.8229842416123193
196,abalone,ft_transformer,no_featurizer,0.7,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.47153550386428833,0.45027750730514526
197,abalone,ft_transformer,no_featurizer,0.7,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.47230684757232666,0.45373106002807617
200,mercedes,figs,no_featurizer,0.7,2,0,1,60,30,l0l2,0.0,l0l2,0.0,0.6929944402210431,0.4078273068773308
202,transaction,rf_plus,no_featurizer,0.7,2,0,4,1,1,l0l2,0.0,l0l2,0.0,0.2740454766564109,0.16678199164682384
203,cpu_act,xgboost,no_featurizer,0.7,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.993998646736145,0.9837870597839355
204,cpu_act,resnet,no_featurizer,0.7,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.9572964906692505,0.9548959732055664
207,powerplant,random_forest,no_featurizer,0.7,3,0,4,1,1,l0l2,0.0,l0l2,0.0,0.9328881571131005,0.9338115500920526
209,powerplant,rf_plus,no_featurizer,0.3,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.9382873619370015,0.9405277688883538
214,parkinsons,resnet,no_featurizer,0.7,2,0,4,1,1,l0l2,0.0,l0l2,0.0,0.81024928987775,0.8076515901083572
216,mercedes,rf_plus,no_featurizer,0.7,3,0,5,1,1,l0l2,0.0,l0l2,0.0,0.6133130454196327,0.6179413002783236
218,transaction,xgboost,no_featurizer,0.3,2,0,5,1,1,l0l2,0.0,l0l2,0.0,0.8250874104050199,0.07101026012218414
219,abalone,ft_transformer,no_featurizer,0.3,3,0,5,1,1,l0l2,0.0,l0l2,0.0,0.4635157585144043,0.45129793882369995
220,concrete,rf_plus,no_featurizer,0.7,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.8585520471670053,0.8767448068896206
221,concrete,figs,no_featurizer,0.3,2,1,1,50,30,l0l2,0.0,l0l2,0.0,0.9508124487695613,0.9132131270303602
223,qsar,resnet,no_featurizer,0.7,3,0,5,1,1,l0l2,0.0,l0l2,0.0,-0.08482742309570312,-0.05986356735229492
225,concrete,rf_plus,no_featurizer,0.7,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.8585520471670053,0.8767448068896206
227,airfoil,xgboost,no_featurizer,0.7,3,0,4,1,1,l0l2,0.0,l0l2,0.0,0.9743204885282272,0.9021690030709102
229,parkinsons,ft_transformer,no_featurizer,0.7,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.8074435349579059,0.7997765162627382
230,powerplant,xgboost,no_featurizer,0.7,2,1,5,1,1,l0l2,0.0,l0l2,0.0,0.9822462798022942,0.9627432675883084
231,powerplant,ft_transformer,no_featurizer,0.3,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.9379624646467313,0.9404414455100218
233,abalone,figs,no_featurizer,0.3,2,1,1,60,30,l0l2,0.0,l0l2,0.0,0.6712325361094764,0.3260119961373228
234,cpu_act,resnet,no_featurizer,0.7,2,0,5,1,1,l0l2,0.0,l0l2,0.0,0.9628930687904358,0.9605122208595276
236,concrete,ft_transformer,no_featurizer,0.7,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.7259373727017264,0.7693041034929119
240,concrete,ft_transformer,no_featurizer,0.3,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.7209417434737129,0.7158254617433306
241,miami_housing,xgboost,no_featurizer,0.3,2,0,4,1,1,l0l2,0.0,l0l2,0.0,0.9790025258461438,0.9039684425230238
243,ca_housing,rf_plus,no_featurizer,0.3,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.6391815102663034,0.5945081444175164
246,powerplant,figs,no_featurizer,0.3,3,0,1,50,30,l0l2,0.0,l0l2,0.0,0.9463872984592504,0.935797685155411
254,parkinsons,random_forest,no_featurizer,0.3,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.5802246042418164,0.5739815856121839
255,abalone,xgboost,no_featurizer,0.7,2,0,5,1,1,l0l2,0.0,l0l2,0.0,0.9266168475151062,0.456440269947052
256,transaction,random_forest,no_featurizer,0.3,3,1,4,1,1,l0l2,0.0,l0l2,0.0,0.29401459330718793,0.16080341107216312
258,ca_housing,rf_plus,no_featurizer,0.3,3,1,5,1,1,l0l2,0.0,l0l2,0.0,0.6792419152472262,0.6377313820604835
260,powerplant,xgboost,no_featurizer,0.7,2,1,4,1,1,l0l2,0.0,l0l2,0.0,0.9737516695570407,0.9609184763177395
262,allstate,rf_plus,no_featurizer,0.3,3,0,4,1,1,l0l2,0.0,l0l2,0.0,0.4622236885627007,0.43817220636311227
